"","date","opt JHH","opt SH","opt BMC","opt HCGH","opt SMH","mod JHH","mod SH","mod BMC","mod HCGH","mod SMH","pess JHH","pess SH","pess BMC","pess HCGH","pess SMH","cat JHH","cat SH","cat BMC","cat HCGH","cat SMH"
"315",2021-01-09,111.56043956044,103.186813186813,58.7472527472528,146.659340659341,29.7692307692307,202.571428571429,224.532467532467,116.376623376623,313.467532467532,67.8441558441558,286.018292682927,337.085365853659,164.75,467.987804878049,99.8353658536585,420.009732360097,511.832116788321,244.664233576642,718.206812652068,154.537712895377
"316",2021-01-10,112.307692307692,104.538461538462,59.1098901098901,148.472527472527,30.021978021978,205.792207792208,226.922077922078,118.194805194805,319.753246753247,68.7142857142857,290.762195121951,342.408536585366,167.676829268293,478.006097560976,101.829268292683,431.783454987835,525.883211678832,252.576642335766,739.39902676399,158.669099756691
"317",2021-01-11,113.021978021978,106.208791208791,60.2857142857143,150.758241758242,30.8791208791208,207.662337662338,229.285714285714,118.675324675325,323.51948051948,69.7142857142857,296.432926829268,348.44512195122,171.5,487.469512195122,104.189024390244,443.316301703163,538.065693430657,259.693430656934,760.265206812652,162.863746958638
"318",2021-01-12,113.879120879121,107.483516483516,61.4175824175824,153.131868131868,30.7032967032967,209.662337662338,233.168831168831,120.207792207792,328.688311688312,70.4025974025974,302.865853658537,355,174.524390243902,497.158536585366,105.951219512195,454.406326034063,549.104622871046,267.158150851582,779.391727493917,166.832116788321
"319",2021-01-13,114.527472527473,109.142857142857,62.1098901098901,155.428571428571,31.2307692307692,211.974025974026,234.766233766234,121.220779220779,331.116883116883,71.2597402597402,308.871951219512,360.823170731707,178.140243902439,506.213414634146,107.774390243902,464.406326034063,560.138686131387,273.980535279805,797.060827250608,170.21897810219
"320",2021-01-14,115.945054945055,110.505494505495,62.5604395604396,157.901098901099,31.7692307692307,214.285714285714,237.636363636364,121.48051948052,336.623376623377,72.2987012987013,312.932926829268,367.207317073171,181.103658536585,515.481707317073,109.841463414634,474.043795620438,569.83698296837,280.369829683698,814.192214111922,173.751824817518
"321",2021-01-15,116.516483516484,111.989010989011,62.8351648351648,160.692307692308,32.3956043956044,215.454545454545,239.25974025974,121.454545454545,339.428571428571,72.7792207792208,317.640243902439,373.030487804878,184.993902439024,525.158536585366,112.15243902439,483.316301703163,579.671532846715,286.38199513382,830.330900243309,176.223844282238
"322",2021-01-16,118.230769230769,113.714285714286,63.7142857142857,162.967032967033,32.8571428571428,216.935064935065,241.597402597403,122.298701298701,343.701298701299,74.0779220779221,322.676829268293,378.676829268293,188.274390243902,535.243902439024,114.176829268293,492.16301703163,588.800486618005,291.425790754258,845.206812652068,179.21897810219
"323",2021-01-17,119.835164835165,114.945054945055,64.9120879120879,166.087912087912,33.8571428571428,216.961038961039,244.428571428571,123.597402597403,347.012987012987,75.4805194805194,328.268292682927,384.94512195122,191.707317073171,546.128048780488,116.25,500.751824817518,596.773722627737,296.8199513382,860.026763990268,182.23600973236
"324",2021-01-18,120.846153846154,116.494505494506,65.4395604395604,169.197802197802,34.4945054945055,219.116883116883,246.766233766234,124.948051948052,349.272727272727,76.4805194805194,333.591463414634,390.719512195122,195.25,555.323170731707,118.792682926829,508.729927007299,604.569343065693,301.907542579075,873.598540145985,185.357664233577
