"","date","mod JHH","mod SH","mod BMC","mod HCGH","mod SMH","pess JHH","pess SH","pess BMC","pess HCGH","pess SMH","cat JHH","cat SH","cat BMC","cat HCGH","cat SMH"
"284",2020-12-09,21.2837966537928,30.2653266957421,14.2695260958449,37.8231410646974,10.3428417274944,40.3257798641008,57.992178008892,23.6301381193422,72.6342741239891,16.0981489358525,55.0757552648448,78.3868449524006,32.8627304600089,101.243048245265,22.84472345246
"285",2020-12-10,21.7209000734316,30.5985191635151,14.0253342206166,38.2354220586095,10.8212464623998,42.2433105990486,61.3962380598299,24.733835150397,76.0842264200361,16.8389298961944,58.4780425595086,83.355790262238,35.0210269216024,108.355065598386,24.3450858601142
"286",2020-12-11,22.2828970288874,31.2781772966393,13.5977020117371,38.8718326683989,11.2979810143229,44.6921316618555,64.2046842354151,26.0302388557471,80.5975274072315,17.4468082868654,61.9210145388663,88.5144044813726,37.5897544754218,114.924116116035,25.9117480136155
"287",2020-12-12,23.0063034840454,31.7976414219671,13.3734578550201,39.6961899934994,11.5142303259923,47.3158122061431,66.4226893554345,27.5685329302258,84.4607177513571,18.697042416921,66.4004479077735,93.8707306384063,39.7258389934942,122.17728794085,27.6071106631887
"288",2020-12-13,23.6151302134881,33.1499528657282,13.8273054135649,41.112011626774,11.8130224752178,49.919618390124,69.8209786364185,29.1397873540494,89.7069538427251,19.883358370676,70.195988844285,99.6587513384505,41.9279107145325,129.200746759923,29.3799426909916
"289",2020-12-14,24.3577374770318,33.9204584285059,14.115505658672,41.5114140929938,12.109397177399,52.2637600240593,73.3987078661138,30.570354727974,95.4297796357419,20.8803060378494,74.5371127085981,104.857341189752,44.4516641963717,137.036380894204,30.7278781709023
"290",2020-12-15,24.0376787564856,33.9590838362875,14.1610160299323,43.0500871079258,12.7636201761099,54.6345717070814,76.4373005619375,32.4823413542546,99.7715232702252,21.8979228626325,78.3882909129236,111.001987849652,47.1020973974488,144.847979013245,32.4528113315596
"291",2020-12-16,24.5954772265146,33.8456422601197,14.3265269692274,44.6132267382668,12.7616613338546,57.317627420769,79.7204383437943,33.8601414318789,105.151865723348,23.2224831730947,82.8604384337873,116.620935308585,49.7468400137082,152.809780552574,34.3303055159229
"292",2020-12-17,24.2007102168511,35.568384838224,14.8361046100383,45.5612499828528,12.5756709562552,60.4803952717357,83.4104591914177,35.3970181759989,109.870463695259,24.5763403235765,87.0978781716691,122.480687835812,52.7394273502456,160.576377067028,36.1341138932617
"293",2020-12-18,25.156994554199,35.6665021413651,15.4140966326282,48.1200581878285,12.9548253558278,62.9912452305931,86.5680156144778,36.9997236022982,115.246629279481,25.441507861019,91.5523137838119,127.598799226379,55.5079767203307,168.583007184647,37.7895025792919
"294",2020-12-19,26.9798072639521,36.9715346584369,16.0608218967773,49.2012194970816,13.353627784239,65.763584285853,89.362951373927,38.9296018190721,120.277704423796,26.9193968096699,95.5631674351694,132.956170232029,58.0981480030481,176.786898573583,39.4200850918731
"295",2020-12-20,29.0460733146496,37.7080561684105,17.1660821097885,52.1138177453926,13.9247980236699,68.3172961795684,93.3797296309512,40.9793190033685,124.550535788772,28.1329992865134,99.7783751456838,138.050672207294,60.7813437047961,184.303365022122,40.910296264931
"296",2020-12-21,30.3808739176476,38.8020618008889,17.6614693612961,53.416851273732,14.2618152771658,70.9682730190362,97.1349183082885,42.5915194252405,129.110899994566,29.1464216978946,103.711816586414,142.149191395987,63.3353578308128,191.903663461194,42.6960237526946
"297",2020-12-22,32.2767718336267,40.6932964381113,18.8865031173058,56.9447045387014,14.6167498097217,73.7130209889541,100.586812721836,44.4111181535859,134.007074601881,30.4373344241206,108.085519748201,147.059932231115,66.0310988910623,198.87341798048,44.2847752041138
"298",2020-12-23,34.8988180315609,41.9063763048059,20.0609072576491,59.2215701835066,14.9941446905117,76.523710131079,103.311830983054,46.3974928944572,138.602703013599,31.486836872226,112.208324543618,151.869236486536,68.2932857019804,206.529820979037,45.7824460399172
"299",2020-12-24,35.971438322647,43.3895148624642,20.6662617567861,62.8655509798491,15.4311171014933,78.6118841631614,105.950338711403,48.0308886104288,143.591200433414,32.7625246224639,116.029255492327,155.648066939068,70.7414507385533,213.374799963622,47.5790447898462
"300",2020-12-25,37.8165886219262,45.0876854030011,21.6644293716682,65.9586944610034,15.5302929785629,81.1670648653548,108.995827615649,49.8274664380101,148.178390403437,34.2334319004367,119.531369460578,159.54813778694,72.9669223632843,220.269167907803,48.9860486600195
"301",2020-12-26,39.4521149623186,46.8710398327155,23.7359958712501,70.6261238848629,16.505131777723,83.5084066598575,112.013095790521,51.6901947277128,153.112267156953,35.3783038155249,123.151994556815,163.26249386953,75.3569952162882,227.169084523669,50.0452537631837
"302",2020-12-27,41.3430692498755,48.6040057505552,24.4327520963153,72.1234878524326,16.8543577451056,85.4454170435574,114.078502214748,53.006746439616,158.934865510547,36.3140594574937,126.995918502379,167.124198542307,77.9417038472724,233.772705106039,51.7605834722145
