"","date","mod JHH","mod SH","mod BMC","mod HCGH","mod SMH","pess JHH","pess SH","pess BMC","pess HCGH","pess SMH","cat JHH","cat SH","cat BMC","cat HCGH","cat SMH"
"452",2021-05-26,0.55,0.775,0.175,1.1,0.05,0.396946564885496,0.740458015267176,0.152671755725191,0.793893129770992,0.0305343511450382,0.352941176470588,0.767058823529412,0.122352941176471,1.05647058823529,0.0494117647058823
"453",2021-05-27,0.55,0.775,0.175,1.1,0.05,0.458015267175573,0.801526717557252,0.190839694656489,0.755725190839695,0.0458015267175573,0.338823529411765,0.767058823529412,0.141176470588235,1.07529411764706,0.0305882352941176
"454",2021-05-28,0.55,0.775,0.175,1.1,0.05,0.358778625954198,0.801526717557252,0.099236641221374,0.763358778625954,0.0687022900763359,0.36,0.750588235294118,0.115294117647059,0.962352941176471,0.0423529411764706
"455",2021-05-29,0.55,0.775,0.175,1.1,0.05,0.221374045801527,0.847328244274809,0.198473282442748,0.885496183206107,0.083969465648855,0.312941176470588,0.743529411764706,0.157647058823529,1.00941176470588,0.0305882352941176
"456",2021-05-30,0.55,0.775,0.175,1.1,0.05,0.351145038167939,0.755725190839695,0.137404580152672,0.83206106870229,0.0305343511450382,0.388235294117647,0.790588235294118,0.136470588235294,1,0.0258823529411765
"457",2021-05-31,0.55,0.775,0.175,1.1,0.05,0.465648854961832,0.694656488549618,0.16030534351145,0.908396946564885,0.0458015267175573,0.305882352941176,0.677647058823529,0.124705882352941,0.945882352941177,0.0235294117647059
"458",2021-06-01,0.55,0.775,0.175,1.1,0.05,0.358778625954198,0.725190839694656,0.175572519083969,0.809160305343511,0.0381679389312977,0.310588235294118,0.776470588235294,0.12,0.964705882352941,0.0447058823529412
"459",2021-06-02,0.55,0.775,0.175,1.1,0.05,0.33587786259542,0.702290076335878,0.137404580152672,0.83969465648855,0.0229007633587786,0.329411764705882,0.670588235294118,0.174117647058824,0.992941176470588,0.0329411764705882
"460",2021-06-03,0.55,0.775,0.175,1.1,0.05,0.389312977099237,0.67175572519084,0.175572519083969,0.893129770992366,0.0229007633587786,0.357647058823529,0.708235294117647,0.143529411764706,1.00235294117647,0.0258823529411765
"461",2021-06-04,0.55,0.775,0.175,1.1,0.05,0.442748091603053,0.916030534351145,0.175572519083969,0.969465648854962,0.0458015267175573,0.369411764705882,0.76,0.148235294117647,0.936470588235294,0.0376470588235294
"462",2021-06-05,0.55,0.775,0.175,1.1,0.05,0.33587786259542,0.923664122137405,0.16030534351145,1.00763358778626,0.0305343511450382,0.341176470588235,0.708235294117647,0.157647058823529,0.978823529411765,0.0329411764705882
"463",2021-06-06,0.55,0.775,0.175,1.1,0.05,0.312977099236641,0.816793893129771,0.122137404580153,1.09160305343511,0.0229007633587786,0.357647058823529,0.696470588235294,0.145882352941176,0.962352941176471,0.0235294117647059
"464",2021-06-07,0.55,0.775,0.175,1.1,0.05,0.32824427480916,1.03053435114504,0.0916030534351145,0.984732824427481,0.0152671755725191,0.327058823529412,0.736470588235294,0.124705882352941,1.02352941176471,0.0282352941176471
"465",2021-06-08,0.55,0.775,0.175,1.1,0.05,0.404580152671756,0.809160305343511,0.106870229007634,0.961832061068702,0.0152671755725191,0.374117647058824,0.792941176470588,0.129411764705882,1.03294117647059,0.04
"466",2021-06-09,0.55,0.775,0.175,1.1,0.05,0.320610687022901,0.862595419847328,0.221374045801527,0.83969465648855,0.0381679389312977,0.376470588235294,0.729411764705882,0.164705882352941,0.988235294117647,0.0235294117647059
"467",2021-06-10,0.55,0.775,0.175,1.1,0.05,0.312977099236641,0.83969465648855,0.106870229007634,0.847328244274809,0.0381679389312977,0.312941176470588,0.816470588235294,0.171764705882353,0.922352941176471,0.0329411764705882
"468",2021-06-11,0.55,0.775,0.175,1.1,0.05,0.366412213740458,0.854961832061069,0.137404580152672,0.854961832061069,0.0458015267175573,0.355294117647059,0.731764705882353,0.138823529411765,1.01882352941176,0.0447058823529412
"469",2021-06-12,0.55,0.775,0.175,1.1,0.05,0.358778625954198,0.984732824427481,0.129770992366412,0.908396946564885,0.0152671755725191,0.388235294117647,0.72,0.129411764705882,0.96,0.0447058823529412
"470",2021-06-13,0.55,0.775,0.175,1.1,0.05,0.358778625954198,0.83969465648855,0.190839694656489,1.0763358778626,0.00763358778625954,0.362352941176471,0.727058823529412,0.157647058823529,0.974117647058824,0.0447058823529412
"471",2021-06-14,0.55,0.775,0.175,1.1,0.05,0.389312977099237,0.969465648854962,0.137404580152672,0.99236641221374,0.0152671755725191,0.376470588235294,0.816470588235294,0.148235294117647,0.929411764705882,0.0282352941176471
"472",2021-06-15,0.55,0.775,0.175,1.1,0.05,0.33587786259542,0.83206106870229,0.122137404580153,0.969465648854962,0.0305343511450382,0.378823529411765,0.769411764705882,0.141176470588235,1.00235294117647,0.0517647058823529
"473",2021-06-16,0.55,0.775,0.175,1.1,0.05,0.33587786259542,0.83206106870229,0.122137404580153,0.969465648854962,0.0305343511450382,0.331764705882353,0.809411764705882,0.141176470588235,1.06823529411765,0.0329411764705882
