"","date","mod JHH","mod SH","mod BMC","mod HCGH","mod SMH","pess JHH","pess SH","pess BMC","pess HCGH","pess SMH","cat JHH","cat SH","cat BMC","cat HCGH","cat SMH"
"328",2021-01-22,225.8,259.45,138.65,356.925,77.95,374.389312977099,439.259541984733,229.083969465649,630.854961832061,136.900763358779,499.423529411765,585.729411764706,299.764705882353,848.465882352941,181.296470588235
"329",2021-01-23,227.275,261.05,139.7,358.375,78.5,377.732824427481,440.442748091603,230.427480916031,635.442748091603,138.229007633588,503.802352941176,589.185882352941,302.934117647059,857.675294117647,182.414117647059
"330",2021-01-24,227.375,259.325,139.15,359.825,78.925,379.076335877863,441.206106870229,232.351145038168,639.656488549618,137.885496183206,508.035294117647,592.402352941176,306.011764705882,864.654117647059,183.294117647059
"331",2021-01-25,227.825,259.075,138.45,359.7,79.675,380.541984732824,441.259541984733,234.129770992366,642.725190839695,138.045801526718,511.082352941176,594.152941176471,308.244705882353,870.454117647059,184.072941176471
"332",2021-01-26,227.875,257.925,138.525,360.25,79.15,382.30534351145,440.480916030534,234.778625954198,645.129770992366,138.419847328244,513.256470588235,594.571764705882,309.967058823529,874.287058823529,184.289411764706
"333",2021-01-27,226.25,257.475,137.375,359.15,79,383.809160305343,440.099236641221,235.221374045802,645.404580152672,138.488549618321,514.611764705882,593.858823529412,311.098823529412,876.865882352941,184.614117647059
"334",2021-01-28,225.25,255.85,136.45,357.275,78.4,383.69465648855,437.419847328244,235.297709923664,644.832061068702,138.496183206107,514.44,592.207058823529,311.430588235294,877.945882352941,184.145882352941
"335",2021-01-29,223.575,251.575,134.975,355.05,78.05,383.580152671756,435.015267175573,234.36641221374,643.236641221374,137.404580152672,513.604705882353,589.990588235294,311.898823529412,876.92,183.691764705882
"336",2021-01-30,223.05,248.425,135.4,348.525,77.3,382.229007633588,430.870229007634,233.671755725191,640.603053435114,137.091603053435,512.981176470588,585.865882352941,311.934117647059,874.543529411765,182.065882352941
"337",2021-01-31,220.475,244.625,134.8,345.25,75.575,381.099236641221,427.625954198473,231.648854961832,636.297709923664,136.679389312977,510.602352941176,581.875294117647,310.663529411765,870.941176470588,180.689411764706
"338",2021-02-01,217.275,241.4,133.15,340.625,74.6,378.862595419847,423.870229007634,231.045801526718,633.18320610687,135.923664122137,508.185882352941,576.343529411765,309.978823529412,865.477647058824,179.397647058824
"339",2021-02-02,215.45,237.025,132.55,335.95,73.95,377.419847328244,422,230.129770992366,628.412213740458,134.251908396947,504.687058823529,569.743529411765,308.174117647059,859.404705882353,177.875294117647
"340",2021-02-03,213.875,235.025,130.625,330.55,71.95,373.664122137405,417.251908396947,228.389312977099,622.312977099237,132.503816793893,499.868235294118,563.056470588235,306.616470588235,851.331764705882,175.715294117647
"341",2021-02-04,211.275,231.925,129.625,328.3,71.25,370.580152671756,412.213740458015,227.129770992366,616.541984732824,130.824427480916,495.176470588235,554.898823529412,303.945882352941,842.32,173.614117647059
"342",2021-02-05,210.65,229.675,126.95,325.125,70.875,366.854961832061,406.534351145038,225.259541984733,609.824427480916,128.740458015267,489.915294117647,546.574117647059,301.195294117647,833.028235294118,171.265882352941
"343",2021-02-06,209,226.975,127.425,321.575,69.9,363.030534351145,401.335877862595,223.839694656489,602.450381679389,126.435114503817,484.64,537.404705882353,298.282352941177,822.305882352941,168.56
"344",2021-02-07,206.175,224.375,126.825,320.575,69.6,359.076335877863,395.007633587786,222.541984732824,595.282442748092,124.580152671756,478.96,527.898823529412,294.534117647059,810.291764705882,165.736470588235
"345",2021-02-08,202.925,221.075,125.45,317.85,69.375,355.610687022901,388.603053435115,220.351145038168,588.587786259542,122.648854961832,472.258823529412,517.694117647059,290.847058823529,797.738823529412,162.477647058824
"346",2021-02-09,199.825,218.9,123.2,314.55,68.975,351.717557251908,381.977099236641,217.862595419847,581.427480916031,121.687022900763,465.915294117647,508.411764705882,286.92,785.195294117647,159.778823529412
"347",2021-02-10,197.925,215.2,122.25,309.375,68.775,347.343511450382,374.801526717557,215.862595419847,573.167938931298,119.870229007634,458.590588235294,498.548235294118,283.105882352941,772.832941176471,156.722352941176
"348",2021-02-11,195.275,211.25,120.075,306.325,67.675,342.664122137405,368.229007633588,214.458015267176,565.977099236641,117.671755725191,451.047058823529,488.585882352941,279.341176470588,760.298823529412,153.595294117647
"349",2021-02-12,194.475,208.275,119.55,302,66.4,337.862595419847,360.480916030534,212.015267175573,557.75572519084,115.488549618321,444.051764705882,477.934117647059,275.602352941177,746.454117647059,150.214117647059
