"","date","mod JHH","mod SH","mod BMC","mod HCGH","mod SMH","pess JHH","pess SH","pess BMC","pess HCGH","pess SMH","cat JHH","cat SH","cat BMC","cat HCGH","cat SMH"
"363",2021-02-26,3.71609674255125,4.87794782669926,2.84209429822446,7.41889479639656,2.23033069296909,7.7127800619124,9.86113004026406,4.67675479677637,13.3143164113763,3.66409033065075,11.2301127566001,12.8080545592098,7.06438996207968,19.2073636398408,4.5600424935797
"364",2021-02-27,4.81397704606077,5.93211597998556,2.56904651573303,7.17635004720366,2.55917467164709,7.79759689492985,8.13440358280327,5.40158195182751,13.7708019485489,3.4390986225613,10.462126389091,12.6938448425138,7.07948505546265,19.5790086024464,4.33809870173798
"365",2021-02-28,4.50104154613129,5.5792024519639,3.21558703816271,9.03102292102063,2.48482896795735,7.52082360625042,8.4483782284798,4.48028527232788,12.5928935703845,3.2678175869171,10.4915180108986,13.3094142085365,6.73097472594019,19.1082142882897,4.30773730536596
"366",2021-03-01,4.49158936235271,6.08435493704961,3.07560969565386,7.33616895934111,2.40624188310319,7.14770453282541,8.717436931831,4.54383822595721,12.5533324122717,2.78436618719417,10.2389105173019,12.3467435433222,6.72501048995207,18.4454780235041,4.10673916561479
"367",2021-03-02,4.27053860771683,6.52107161438977,2.73849867628232,7.54482438496749,2.17025344142107,7.08489070082547,8.55341382490853,4.61139471844955,13.2197343975627,3.33181403909283,9.94149362529243,12.1953905864918,6.68848351756255,18.3264590236636,4.30163725167323
"368",2021-03-03,3.96074487943871,5.67224602780944,2.90678086549365,7.93583643984678,2.16737168016932,7.14105715414135,8.27794228169596,4.40885791185669,13.1742058325434,2.74439955549954,10.287537796287,12.0606458307452,6.21345075157233,17.6477719071615,4.2098608907805
"369",2021-03-04,5.22248743416391,5.811142314554,2.72717802865893,8.59909152178298,2.26881026090769,7.05611131940316,8.26638257176595,4.86161865391911,12.2843616698265,3.00658717798621,9.89261819791345,12.2003269568758,6.33071318350189,17.2291032446822,3.97515188715495
"370",2021-03-05,4.81949167444037,6.82271023860753,2.95793424538139,7.66224510179621,1.73493515728975,7.25353939071645,8.44854376394247,4.52961945012116,12.1742156270883,3.20801469953812,9.52130374021828,11.5714719002258,6.28572282388312,17.4320447873199,4.06020709581416
"371",2021-03-06,4.50270751881576,7.12105153751888,2.88519929987514,8.2960457448112,2.49799919935936,7.25892790043664,8.17814871635272,4.73970197164595,11.8371375467871,2.84852521757426,9.74336548294562,11.322122143264,6.4339265134615,17.1075044137488,3.65322742082058
"372",2021-03-07,4.41333207452147,6.15421603455712,3.4277361333685,7.82268336314337,1.92337593829184,6.87024597114106,8.09096209473492,4.44751980048832,11.5097089010137,2.5892382604804,9.34467263067007,10.9525304781787,6.21493501985645,16.8532348193287,3.82898506703782
"373",2021-03-08,5.1888703009422,5.99082632030006,2.44897937925169,8.72625349161941,2.38484800354236,6.84603032623899,7.7977837184,4.83358633959077,11.1102772770796,3.09059450140629,9.30491584182949,11.1968151675462,6.17875095159202,15.741132506753,3.9712112800935
"374",2021-03-09,4.36777975635219,5.86893303761425,2.72534401498233,8.0043347631143,2.05775970414429,6.93961568354648,7.67875947821609,4.12451161482613,12.1357961390443,3.17287392677192,9.08161045425901,10.4322497051228,6.11576894247857,16.2015119974483,3.52047810530976
"375",2021-03-10,4.68608311919454,5.49494085500472,2.6850279328156,7.96178371974522,2.18960612896475,7.22041373147711,7.92546567938237,4.2364555354398,10.4449798963268,2.92146091222578,9.20106327540051,10.2165979345573,5.57695902551905,15.5578801448679,3.68687938299791
