"","date","mod JHH","mod SH","mod BMC","mod HCGH","mod SMH","pess JHH","pess SH","pess BMC","pess HCGH","pess SMH","cat JHH","cat SH","cat BMC","cat HCGH","cat SMH"
"437",2021-05-11,2.50549396327351,2.82743258098226,1.31124940419434,5.35251109293573,1.13770602529828,4.82774791522793,5.42394211513125,2.95296540137757,8.25453842320409,1.73169751835813,4.78880817500809,5.41711551329941,3.14942736597687,8.20633024288952,1.37047462291044
"438",2021-05-12,2.25817957656162,2.94098197886352,1.44135353053996,4.9132473986153,1.04283268073071,4.61542398594251,5.21178978406996,2.8100521319171,7.6886942246404,1.62234843710354,4.57522983331785,5.23770519496301,3.00311810275593,7.81514809791776,1.34972302682252
"439",2021-05-13,2.08551552379741,2.96268459340511,1.30168160469448,4.71274866717927,0.968245836551854,4.28725016252413,5.01401799308097,2.68350741578625,7.23461980979787,1.46977789881633,4.35758988655164,5.01389073933814,2.83111725534192,7.34451130891511,1.33055442823854
"440",2021-05-14,2.14461535012692,3.00156209331075,1.34140784252963,4.54140672038962,0.877140239642442,4.07005548727325,4.70584529030401,2.537728826161,6.76523675958667,1.38943879977179,3.99287670231145,4.83736895515574,2.66978065011401,6.79897651568967,1.27780954442903
"441",2021-05-15,2.03700147275352,3.14801524773944,1.26095202129185,4.46066138593819,0.852936105461599,3.82297209893691,4.4466025618428,2.3464809492952,6.27153942408548,1.23447175644174,3.82192980114029,4.65486224936396,2.59175589435366,6.36500553823248,1.21846463032922
"442",2021-05-16,1.8405162319306,3.0347981810987,1.19478031453485,4.22610932182309,0.668954408012983,3.4084290023539,4.20165042867755,2.23790444487944,5.85975201402502,1.20063499311437,3.62027049783695,4.54749088579641,2.45555763968173,6.08796691650592,1.13332654859221
"443",2021-05-17,1.80260228558604,3.24412931308232,1.05356537528527,3.9426355398388,0.668954408012983,3.10171750441375,4.01082388466334,2.13117959383106,5.62711931341246,1.07500865601734,3.4122888035588,4.43261644870328,2.26072224121034,5.74418147008307,1.10391815553403
"444",2021-05-18,1.72554339267374,3.33728931919305,1.09287464971972,3.70944739819828,0.668954408012983,2.97574837232351,3.87210307397526,2.03575063215674,5.31193505618619,1.01953416593368,3.19896696128253,4.31483222879288,2.13316406479568,5.34182115829399,1.10689315507297
"445",2021-05-19,1.58981130955846,3.48425027803687,1.12221878437317,3.47526977370103,0.670354383889596,2.89746699003384,3.85176346799932,1.90622777484343,5.02165928182879,0.939210533789767,3.1136747168281,4.20796147705603,1.96093332767101,5.0676279061466,1.05374993586507
"446",2021-05-20,1.5,3.6296521871937,1.0767427733679,3.40578551879005,0.670820393249937,2.82155827031471,3.83041843082003,1.80165609575538,4.68080249634501,0.884969572286377,2.86788686780096,4.08029851679496,1.82148044278829,4.84562857253585,1.00572754226647
"447",2021-05-21,1.45580733615407,3.47410060303383,1.05800519847494,3.28014862468151,0.670354383889596,2.74129779388866,3.91146706708158,1.72296011965385,4.57679266067364,0.884640281271336,2.75523886014817,3.9347438285789,1.74134180455096,4.60964777343733,0.943379773963742
"448",2021-05-22,1.39620020054432,3.49562226220168,1.06770782520313,3.13039534244478,0.630476010645925,2.54435622821334,3.86165996577595,1.54835807815422,4.52150749951582,0.794700118329154,2.64129149494063,3.79258062802483,1.6497691984955,4.44205507475958,0.856373620884432
"449",2021-05-23,0,0,0,0,0,2.46894351288349,3.77545552860297,1.44268750630093,4.33715441911148,0.734888949408167,2.45244430007752,3.7665804156664,1.61245326640253,4.24564486809964,0.817334684299628
"450",2021-05-24,0,0,0,0,0,2.48608973163091,3.71681262821791,1.3961746501184,4.11935161733221,0.765417072372832,2.32968031725875,3.73904193638907,1.47965393877984,4.08460964917814,0.790826294690373
"451",2021-05-25,0,0,0,0,0,2.31243537857949,3.78274892653144,1.45234900724042,4.01615234198779,0.723944288215492,2.20047179590366,3.58931439897249,1.41134503566228,3.88033887151438,0.748723481140451
"452",2021-05-26,0,0,0,0,0,2.30963656687219,3.63906828976842,1.42427283714195,3.75760208795856,0.689731725073375,2.13775291913088,3.50916072537862,1.33126159692465,3.80151126386249,0.7267503628932
"453",2021-05-27,0,0,0,0,0,2.35191322832628,3.54478041813708,1.3796746453116,3.57851652908283,0.677886664863919,1.98830629876694,3.41695345801725,1.31066638271606,3.76398081252992,0.680061059745887
"454",2021-05-28,0,0,0,0,0,2.26626295662935,3.5693043538349,1.26169143451017,3.504008044141,0.590900839095073,1.89301977682024,3.32960381902945,1.30078283589505,3.62797588147162,0.660107991584434
"455",2021-05-29,0,0,0,0,0,2.20257780543314,3.55826739101245,1.30335547910919,3.5308293666714,0.631238170669559,1.85051905184617,3.23306789716543,1.24155500221674,3.63173250238204,0.642383106380706
"456",2021-05-30,0,0,0,0,0,2.17338848455756,3.62901437760102,1.28303330641005,3.36136264238016,0.590900839095072,1.84724615011112,3.16917331737647,1.22694996979245,3.57222968375423,0.617843106141217
"457",2021-05-31,0,0,0,0,0,1.96181720967438,3.42822039320552,1.15062251489568,3.34866624837827,0.60474205558285,1.77764044067752,3.0737518073212,1.17758535420409,3.50299446791092,0.580017897349447
"458",2021-06-01,0,0,0,0,0,2.07549376726359,3.39446688807353,1.11403315378104,3.41546543153044,0.576626487573169,1.75399731310926,3.0345607869262,1.16764691065342,3.41314373752562,0.580017897349447
"459",2021-06-02,0,0,0,0,0,1.96706759738862,3.32488099552504,1.12377198287499,3.53033422168493,0.546641642441776,1.70466650382805,2.99386778109145,1.20372202472281,3.50228793237302,0.539126552347747
