"","date","opt JHH","opt SH","opt BMC","opt HCGH","opt SMH","mod JHH","mod SH","mod BMC","mod HCGH","mod SMH","pess JHH","pess SH","pess BMC","pess HCGH","pess SMH","cat JHH","cat SH","cat BMC","cat HCGH","cat SMH"
"413",2021-04-17,33.6544855851341,46.7855063027002,20.3285513502561,63.3402273440821,16.4552240944935,34.4704325253915,45.1298845441096,21.8205516915772,63.6505971311562,14.8991960876613,61.3395147446264,72.6264261584506,38.2792742298961,109.439086419236,23.8142686496133,33.7909884997478,38.7327790151338,22.3727910878507,61.2861365331201,11.6575378481001
"414",2021-04-18,33.8484859336426,47.2071858936751,20.5776577870272,61.9121345133569,16.6565422582239,33.517676263342,43.7613299401858,21.1151021653681,61.6501780379229,14.0890769511084,59.6305543888664,70.2437392962409,37.0696197639644,106.459234724429,23.0200266335315,32.0878966598568,37.2493135515617,21.5110141336588,58.3215676042184,11.0909561060546
"415",2021-04-19,34.4323626839635,46.94942385163,20.361728806759,63.3433469276766,16.3378823597185,32.7704165184245,42.4290813750006,20.7072973116685,59.8725518362625,13.7480590688052,57.4877496914008,67.4309024352359,35.7870175787397,103.203427767241,22.4900936729683,30.3176024432871,35.2302336027674,20.401991569923,55.4804369007536,10.502860319159
"416",2021-04-20,34.0136737210199,46.7455409638182,20.5855871910422,64.453530547209,15.9642224990759,31.6734525214506,41.4741710021897,20.3656780448095,58.7129708822114,13.2109833985318,55.8920826780049,65.1496554357881,34.6119950090832,99.893402882838,21.6827701660195,28.8217186092511,33.6989175986221,19.2068466204426,52.4026413589281,10.0083552715523
"417",2021-04-21,35.1367670681296,46.4880027533986,21.0661909228982,63.2601644006716,15.7525997854322,30.8763294777265,41.2871626831641,19.9298721838835,56.8492986081752,13.0699488454248,54.1134303437424,62.7278791854223,33.3976385630663,96.9390681272897,20.8862469597816,27.472935453351,32.2336187760238,18.2285449057923,49.6184818802755,9.48105404523326
"418",2021-04-22,35.5634419031679,46.2021471362533,21.1740312647356,62.4471104215399,15.0467139269676,30.6497583005429,40.1163173484699,19.2303109761059,55.3812949756307,12.7930661723825,52.6297503312982,60.2358648434307,32.0777097473339,93.8269814625452,20.0188827928739,26.1422437755636,30.6476829445922,17.3475610540811,46.9340761459751,9.01558799337884
"419",2021-04-23,36.0794955618839,45.7018555421987,20.6810928144525,62.7717293054764,14.5371936769103,29.3502300069438,38.3243289414297,19.0271057114485,54.1441369815369,12.3890507973131,50.7502906260351,58.3300427762289,31.0414956969203,91.0032252315058,19.262750711119,24.9441153892711,29.1494558285778,16.5419210498658,44.4648155570551,8.43962847221818
"420",2021-04-24,34.8252781754863,45.1388967521361,20.1900965822356,62.9914279882588,14.211840134198,28.7869002532703,37.2778361011466,18.1810240883759,52.6894011046076,11.9209024460568,48.9159710136616,56.1693583323578,29.8377936570668,87.5783230188955,18.5104817864402,23.5817432640771,27.822505862786,15.7361644995403,42.4379400872672,7.96321729505796
"421",2021-04-25,33.9134427624209,45.9944561876755,19.9879963978384,61.2690590755236,14.4477541507322,28.2660218387352,36.2555223256184,17.9570915857947,51.1341395864515,11.5405962796274,47.0715536661668,54.0097155127476,28.7797780400515,84.7085772956153,17.8130358635809,22.3069689466263,26.1557088606245,15.1878725278004,40.0306695484934,7.30923617682432
"422",2021-04-26,33.0678333127527,44.1027210044913,19.7820221413282,59.8351067518058,14.1080969659271,27.4853156018854,35.4270985766887,17.2275367901196,50.1723371828965,11.090033514863,45.4187225420749,52.1791842036989,27.782902412857,81.5771661806557,16.9443546199546,21.2892058729364,24.627495356345,14.4668436337088,37.9174614971898,6.92187716198959
