"","date","opt JHH","opt SH","opt BMC","opt HCGH","opt SMH","mod JHH","mod SH","mod BMC","mod HCGH","mod SMH","pess JHH","pess SH","pess BMC","pess HCGH","pess SMH","cat JHH","cat SH","cat BMC","cat HCGH","cat SMH"
"375",2021-03-10,3.92346785382524,4.97598231508111,2.72646291007232,5.94942013981195,2.0712315177208,5.63658640782825,6.57825810183418,4.10367094412501,8.73940129385587,3.36210418842373,7.71554305921583,10.2639057988222,5.1428034919592,13.8931995963125,3.72238918333937,8.93607835783176,10.8556294411059,6.30260418981527,16.2193268171561,3.88064060695781
"376",2021-03-11,3.96892932665725,5.35167263572801,2.64582690287932,6.65660574166745,2.22674650555468,5.17151169840936,6.90027372175844,3.86820902964174,8.83627522364401,2.88487925177017,8.03276503842747,10.3162923640695,5.2182474274993,13.2669318068465,3.75537219358495,8.8261096552506,10.2758492454015,6.09223699446259,15.3281773631162,3.76832279612091
"377",2021-03-12,3.59866641966159,5.09199371562849,2.93455277682989,5.50813943178638,2.33452350598575,5.59900508714186,7.32929247165206,3.48642196807533,9.58474080391041,3.14746368496612,8.05563831553382,10.4792685032182,5.56524477708591,13.1369316990895,3.52671930970596,8.67310825619555,9.63909331576476,5.94378634190065,15.3924098410992,3.51577389048417
"378",2021-03-13,3.74400854699879,5.56866231693034,2.49807926215323,6.13188388670236,2.31032465251098,5.32343869634416,6.69505228511396,3.8355903081915,8.50298671016395,2.69856307825667,7.81970370672103,10.2834450455721,4.98920479913933,13.0735429919728,3.67723447106642,8.26273734898609,9.08047435392341,5.61147319672662,14.6240868858663,3.45629004743168
"379",2021-03-14,3.66911433454996,4.80266592633716,2.71293199325011,5.58870289065361,1.85741756210067,5.76930847508968,5.92073077781149,3.61069538751009,9.04479680385868,2.87025903932338,8.05668690269978,10.2533718183547,5.32398408567284,14.0782355538525,3.69623248583582,8.12287278691917,8.8755626414554,5.53864196684036,13.6458858829933,3.18820894591953
"380",2021-03-15,3.86910842443062,4.94048580607211,2.72682966097994,5.87363601187544,2.06920274502041,5.24263023798587,6.85201129785378,3.48325541392416,9.45573526752259,2.93857767501204,7.84935439201141,10.0760518367789,5.24636097719022,13.4569382083109,3.75733171522019,7.75193823975547,8.72484819185391,5.05037901009277,13.3174613063527,3.12911528111697
"381",2021-03-16,3.45722432017363,5.07164667539055,2.46868385987352,6.46541568655875,2.30867927612304,5.11857057158896,6.77531584978108,3.82789299981666,8.26666204260377,2.77376651518433,8.02839110818407,9.20623860415674,4.90451920697917,14.0959548812158,3.61923652435186,7.52376973216677,8.08910188748453,4.77552800290008,12.5721330741547,3.13548142786361
"382",2021-03-17,3.70642685075532,4.79253586319393,2.72242538924394,5.87537232862735,1.88944436276912,5.11030504528728,6.34243964342205,3.51095836981746,8.46213282781702,2.56608070279019,7.27270781360348,9.47769891685967,4.98648274858554,13.3375485159644,3.58669232779651,7.50291077878729,7.72523787928534,4.91207185213907,12.0940254100967,2.95925404560941
"383",2021-03-18,3.4117444218464,4.1196601801605,2.46121921006642,6.15860373786137,2.07161772535379,5.01482244510706,6.23974350125214,3.07362955954637,8.20605658523683,2.51833312012591,7.40643022722429,9.94091543756646,5.09874276471603,12.7845242752588,3.74086735862176,7.06783472884391,7.80194319639402,4.67152019355957,12.1313771555359,2.85567285323217
"384",2021-03-19,3.87793759619724,4.9618141843483,2.59507225332938,6.14491659829489,1.89536276211178,4.84952275049224,6.20546937926917,3.72966785779998,8.48070455746848,2.56731358240216,7.71460382789379,10.0155330250231,4.93866192117572,13.5671929614306,3.53963466449489,6.24192191025964,7.51398778344729,4.79005286129435,11.8971586755265,2.71855532517541
"385",2021-03-20,4.06787413767929,4.79683228808346,2.49967997951738,6.44673560804226,2.16850178694877,4.87949640555378,6.39480929713245,3.85259240697614,7.91626222371573,2.55039673582005,7.47076196123146,9.48956827002421,5.03807133847275,13.786939784627,3.43458595677772,6.35428341993467,7.42195951818177,4.36849117186936,10.8390894674461,2.64434219098006
"386",2021-03-21,3.8314488121336,5.89386121316069,2.19317121994613,5.47956202629371,2.00359676581891,5.2411287723688,5.84080947964408,3.39286634726266,8.26802134028714,2.38769411948929,7.49913516876444,9.73374885558609,5.07961443322062,13.8288345845725,3.47382588732594,6.58274046383508,6.78140879214372,4.3834049510691,10.9267309845202,2.59631754139034
"387",2021-03-22,3.84088531461172,5.17161483484607,2.56600857364117,5.95637473636439,2.16046291335908,4.88352717623664,6.00401504673389,3.72726314707838,8.33237881127779,2.52462415596651,7.8663925631651,9.47283267230826,5.32558129561734,12.2565567819762,3.54671187961944,6.42156457554455,6.51409823748833,4.27930541612713,10.6581975327266,2.36580972366371
"388",2021-03-23,4.08098027439487,4.77028301047223,2.29442803330155,5.59932138745402,2.22899080303172,5.22505782348803,5.79474329543897,3.30871948797223,8.40714146350149,2.80431328292012,7.41786833899642,9.11404869223259,5.45655510656106,13.2573930855591,3.27166048412315,6.00764500327083,6.43613987617638,3.85763534535309,9.98357923864994,2.37425925032097
"389",2021-03-24,3.61972374636518,5.31070616773325,2.56912436444793,6.77421582177598,1.75088549025914,5.19568004006652,5.75021320691915,3.36119906197844,8.46452002858839,2.65804351781724,7.64551381562609,9.26481966120373,5.02540598239061,12.7189401436742,3.44446552969039,5.75972591550126,6.2149543583721,3.8497987550413,9.67820254409495,2.41966700105438
"390",2021-03-25,3.56701555925959,5.04654337145734,2.49799919935936,6.44946509409889,1.95192212959431,4.7450562104684,5.146843653571,3.10403542249335,7.77509534286054,2.48139656196345,7.29867955790837,9.30359567628402,4.96534394106598,12.2980023238839,3.22723673149512,5.56323380167412,6.09514667679009,3.80257194769127,9.57058444738721,2.30601740186013
"391",2021-03-26,4.20780227672356,4.67508288696575,2.14476105895272,5.66392090340252,2.55976561427018,4.9005443889144,6.08534645174673,3.15724459550399,8.24232370369622,2.15454274601349,7.45093598514881,8.49057213743072,4.96875307136023,12.4583277834842,2.96845604295585,5.18707972315494,5.9418826521149,3.56386060779737,9.19279384229477,2.09382632092709
"392",2021-03-27,3.3847304176256,4.9162587401397,2.45120378589786,6.78907946631942,2.00249843945008,4.69631099167254,5.23401805768722,3.36246617078076,7.61648157043922,2.06080240882472,7.05062370274705,8.77593897750986,4.67248092069646,12.0493097736286,3.33936386788315,4.88667136068201,5.30665425201612,3.46217738134665,8.41365877432104,2.28108727245893
"393",2021-03-28,2.9380946206683,4.78514367600389,2.58642610565235,6.12238515612992,1.72927730569738,5.02103167259106,5.25088835072155,3.314501825281,7.05198814064305,2.54597070173039,6.63294772327541,7.88706251014889,4.71069957546278,10.8900680143926,2.88380259124164,4.72809180800665,5.16263065011809,3.20219359319157,8.03304296382401,1.97279821145222
"394",2021-03-29,3.48832337950483,5.18443825308008,2.2630952255705,5.31642737183534,1.98635344286962,4.4364509054852,5.308778688315,3.17704810007783,7.12907034340491,2.3825572756114,6.7230531147514,8.01860406169219,4.54076245516371,11.2213820093077,2.77550682750727,4.74201096265904,4.96745436340918,3.14325467933722,7.75271122093645,2.01976649367313
"395",2021-03-30,3.51886345287793,4.44630183410888,2.61503346058898,5.03126226706579,2.21639346687361,4.03238543010049,4.73257408766446,3.02266714912331,7.02481070454594,2.40910884523969,6.55938223604544,7.82163483132296,3.86268670515953,11.263695900145,2.80144533329756,4.47205232665516,5.00303777705251,2.88283798929885,7.41105807274515,1.85891096705175
"396",2021-03-31,3.60494105360962,4.0900366746522,2.31516738055805,6.01345158789858,1.92260240299444,4.66917647706691,5.24697741937524,2.81162398287393,6.73328849239827,2.22786122857306,6.32755461513868,7.08531667609871,4.2684511763385,10.5017612421845,3.00054341867994,3.93985328149107,4.81592413908611,2.9584065963288,6.9058249404471,1.77838742013095
