"","date","opt JHH","opt SH","opt BMC","opt HCGH","opt SMH","mod JHH","mod SH","mod BMC","mod HCGH","mod SMH","pess JHH","pess SH","pess BMC","pess HCGH","pess SMH","cat JHH","cat SH","cat BMC","cat HCGH","cat SMH"
"356",2021-02-19,3.15079355083763,3.31511689085016,1.34536240470737,3.82459148145263,1.15758369027902,12.355059692288,16.0195973732176,10.219955968594,20.4872521339491,5.83009433885936,35.5097892181227,42.1752012378282,21.2786400237892,60.8158749400088,14.4472100866117,76.0745282407055,91.5260132046603,48.2980905538455,137.449340587823,30.0809769345984
"357",2021-02-20,3.13209195267316,3.2291639784935,1.41774468787578,3.96831198370289,1.22882057274445,12.1165176515367,17.464249196573,9.26755091704383,21.3133760817004,5.91164105811576,34.6473959179582,41.3575032213301,21.1795835640158,59.8776072197686,14.1326267390727,75.0267774463516,90.0987968711671,47.547814647304,135.747161779362,29.3816292282848
"358",2021-02-21,3.11889403475014,3.36860505254029,1.35185058345958,3.95316329032839,1.23592070943083,13,16.6129467584773,8.73842090998139,20.7929675611732,6.17960354715414,33.309785921474,40.0482433694933,20.9701352080696,58.5762373577409,13.7786738059892,73.5896031209572,88.1898433555097,46.2890644778481,133.135787082677,29.1137314637133
"359",2021-02-22,2.80178514522438,3.60936282465479,1.77411949992102,3.92555728527811,1.29903810567666,13.1334496610753,16.8104134392941,9.54188136585233,22.3818564913637,6.93739864790831,32.5849580704873,38.6673939196544,20.6870087726958,57.6362374817809,13.6862877318609,72.4810100020211,86.9867617302115,45.5565725900483,131.26437584031,28.5862649761749
"360",2021-02-23,3.0886890422961,3.53942085658092,1.99749843554382,3.53411940941446,1.38202749610853,13.3546808273354,17.3954016912516,9.42072184070839,23.2148120819446,7.44899322056343,32.2085166680082,37.2178364838383,20.5030025570548,56.5409431994861,13.7849443726852,71.5186802930491,86.1988469234798,45.6999529815365,129.627034096866,28.24826719658
"361",2021-02-24,2.97447474354717,3.70776212829248,1.67032930884901,3.28785644455472,1.35185058345958,13.2781775857984,17.0964908680115,9.16119533685425,23.1741235001456,7.47311849230293,30.9886091289622,35.7980015305358,19.7834729627822,55.1916383251584,13.5638635742818,70.5133243171104,85.5779187929721,45.1514674627313,127.913301610434,28.0642910324195
"362",2021-02-25,2.51793566240283,3.47275107083707,1.73997126413053,3.06757233003559,1.34536240470737,12.6170519536063,17.0762993649093,9.00152764812729,23.1721276537136,7.0176563039237,29.5821668465323,34.3892478889895,19.7584174904873,52.1162702439714,12.7333634972603,69.7391274568122,85.1794621460148,44.521094647957,126.38522089255,27.7345375765481
"363",2021-02-26,2.2,3.73463518968051,1.98494332412792,3.25384388070479,1.41774468787578,12.9456556419519,16.6729571462293,9.16460582894867,24.1422865528516,7.07725229167365,29.2102085336424,33.5058754547062,18.8607633743104,50.5458171328709,11.9049735430923,69.1490054949274,84.4819862080216,43.8732019474427,125.060917224238,27.4032474904428
"364",2021-02-27,2.27760839478607,3.43329288002058,1.78535710713571,3.28024389337135,1.32193040664023,13.2533014754815,16.5487159622733,9.93415824315276,24.8766456742062,7.19913189211033,27.6684515265409,32.4708796414781,18.359623872828,48.8667212649665,11.8612809714035,68.554637197275,84.5087538479222,43.5970777109719,124.198364826932,27.277468494631
"365",2021-02-28,2.27760839478607,3.60936282465479,1.88348082018374,3.7453304260105,1.24096736459909,13.9441744108427,16.629116031828,9.27078745306999,26.0747003817877,7.61905505952018,27.0014796627528,31.7015402515554,18.3352037953423,46.4050278719557,11.6547411124317,67.8312751901429,84.0183317072305,43.4289923590145,123.507268406038,27.2996251118949
