"","date","opt JHH","opt SH","opt BMC","opt HCGH","opt SMH","mod JHH","mod SH","mod BMC","mod HCGH","mod SMH","pess JHH","pess SH","pess BMC","pess HCGH","pess SMH","cat JHH","cat SH","cat BMC","cat HCGH","cat SMH"
"356",2021-02-19,53.8939439575482,55.1669036172832,29.2868234558466,77.4218134769696,18.9054444531217,114.942844691463,131.447040785489,65.5144541774469,188.383038331764,42.7373967133654,181.848223906401,214.397356173184,108.060063163586,314.884441140539,68.1151730981811,263.987314912368,310.260585128935,164.219693022007,462.90332980004,98.5055426552246
"357",2021-02-20,54.2616167313856,55.8322831787011,29.5654830362277,78.3669023347583,19.23862743128,115.744516112864,132.007601523652,65.6349807797702,188.988344428605,42.966927645468,181.732614945676,214.428048274248,108.491353110768,315.226007353252,68.0324553210824,263.324316551954,308.933156862509,164.086176967648,460.824533226751,97.9544435609393
"358",2021-02-21,54.7800596342909,56.3414927440071,29.8365845939617,78.6902954257874,19.3991826575105,115.905255595468,132.403477668552,65.9103429872663,190.477027672432,43.2928078089368,181.933930242989,213.488966081215,108.707076010043,315.169460872514,68.0061993652516,261.450343444622,305.511152416357,163.182686690682,458.50177018659,97.130075367867
"359",2021-02-22,55.3009632350848,56.574620275521,30.0338182676955,79.3709057007657,19.7298810764243,116.479141775159,133.047303920383,66.2943424875821,191.174579495379,43.4020537073323,181.786144442549,212.515155368654,108.74068033684,314.943706383361,67.7923704954955,259.785649858,302.501538122143,162.357594438202,455.478628517002,96.084746134318
"360",2021-02-23,56.214764142295,56.6000667021779,30.3600372913898,80.5690888094339,19.5960710441335,117.129146135857,132.908599622533,66.6471215551273,192.044177688551,43.3630207726204,181.314611912299,211.656987811729,108.548845131985,313.674147679065,67.4833815716061,258.474856908263,299.077834631831,161.092218379447,450.972995607956,95.7158449924861
"361",2021-02-24,56.7799327523821,56.9613600059058,30.5436353937183,81.6658760440429,19.7906016218543,117.553370264355,133.154140493773,67.1392859760134,192.508831900417,43.4421549617532,181.295895931948,209.530855619857,107.721330619778,312.433406094796,67.336809901476,255.536875419246,295.118301772782,159.599590222197,445.609192368759,94.3078914767096
"362",2021-02-25,57.0021449286104,57.1142515688245,30.7544042261317,82.331138609746,19.8529921756327,117.657059189744,133.126941395734,67.2056609819873,192.872035277334,43.7117963468802,180.959441797074,208.22181035951,107.463778381168,311.032609226931,66.8985921610711,252.76693534383,290.904441943514,158.180972138403,440.751713521844,92.5172273667176
"363",2021-02-26,57.544352262222,57.5698115688671,30.8731344764233,83.0067071757462,19.8958181154127,118.054883873727,133.200552124298,67.3504198151247,193.334220874811,43.5291809945811,180.482398764053,206.836938172713,107.285243621676,309.963644109577,66.785084379502,250.115101487095,285.512522569403,156.821880860312,433.239186736764,90.8024174230003
"364",2021-02-27,57.7718862612612,57.9419540643014,31.2120600285738,83.7343259540236,19.5366673131553,118.508143333612,132.997543036488,67.7639540703215,194.102775961387,43.5493199647371,180.08864258479,205.436782302531,107.170092534543,308.355819109188,66.3717441522357,247.045069347129,280.996704166431,154.521394187453,427.63987014241,89.4053309634638
"365",2021-02-28,57.7757041931883,58.2632156553637,31.4926764726364,83.9614888045643,19.6738293196801,118.882760205967,133.161556091788,68.1520477028151,194.462363920348,43.7180352953774,179.205227983138,203.723359715616,107.222886719456,307.249968353064,65.8294757896924,244.020246464581,275.757920226172,152.592325652521,420.962834536344,87.8869024874801
