"","date","opt JHH","opt SH","opt BMC","opt HCGH","opt SMH","mod JHH","mod SH","mod BMC","mod HCGH","mod SMH","pess JHH","pess SH","pess BMC","pess HCGH","pess SMH","cat JHH","cat SH","cat BMC","cat HCGH","cat SMH"
"301",2020-12-26,2.75,4.56081081081081,1.37837837837838,5.33108108108108,0.831081081081081,4.83870967741935,8.00293255131965,2.57478005865103,9.40175953079179,1.81231671554252,6.959375,10.7125,3.834375,13.7625,2.54375,10.6357142857143,16.3857142857143,6.20714285714286,20.1357142857143,4.08571428571429
"302",2020-12-27,2.4527027027027,4.14864864864865,1.2972972972973,5.46621621621622,1.0472972972973,5.02932551319648,7.80645161290323,2.74486803519062,9.56891495601173,1.79472140762463,7.309375,11.01875,4.2125,13.975,2.846875,11.85,16.8285714285714,6.3,21.4785714285714,4.38571428571429
"303",2020-12-28,2.51351351351351,3.82432432432432,1.75675675675676,5.74324324324324,1.02702702702703,4.92961876832845,7.91495601173021,2.90909090909091,9.57478005865103,1.86803519061584,7.471875,11.4875,4.175,13.846875,2.75625,11.9642857142857,18.7357142857143,6.65,22.1928571428571,4.47857142857143
"304",2020-12-29,2.60135135135135,4.5472972972973,1.43243243243243,5.64864864864865,0.925675675675676,5.14369501466276,8.01759530791789,2.81231671554252,9.9941348973607,1.88856304985337,7.84375,11.878125,4.503125,14.490625,2.84375,11.7142857142857,18.6142857142857,6.71428571428571,23.6428571428571,4.79285714285714
"305",2020-12-30,2.51351351351351,4.41891891891892,1.7027027027027,5.63513513513514,0.918918918918919,5.12023460410557,8.52785923753666,2.95307917888563,10.3108504398827,2.11730205278592,8.040625,12.29375,4.690625,15.51875,3.125,13.0642857142857,19.3642857142857,7.06428571428571,24.1285714285714,4.97142857142857
"306",2020-12-31,2.64864864864865,4.37162162162162,1.47297297297297,5.35135135135135,0.966216216216216,5.40469208211144,8.63343108504399,3.03519061583578,10.2785923753666,2.12903225806452,8.41875,12.7875,4.8125,15.784375,3.45625,13.0857142857143,20.5928571428571,7.5,25.2428571428571,5.14285714285714
"307",2021-01-01,2.85135135135135,4.52702702702703,1.51351351351351,6.01351351351351,0.959459459459459,5.60117302052786,8.76539589442815,2.9941348973607,10.5219941348974,2.0733137829912,8.759375,13.00625,4.996875,16.5125,3.365625,14.2357142857143,20.8714285714286,8.03571428571429,26.8285714285714,5.55
"308",2021-01-02,2.76351351351351,4.5472972972973,1.5472972972973,5.62837837837838,1,5.78299120234604,8.73607038123167,3.20234604105572,11.1114369501466,2.25219941348974,9.178125,13.684375,4.85,17.5,3.60625,14.7214285714286,22.1857142857143,8.42857142857143,28.1642857142857,6.04285714285714
"309",2021-01-03,2.96621621621622,4.58783783783784,1.59459459459459,5.89864864864865,0.986486486486487,5.7683284457478,8.97653958944282,3.28739002932551,11.4428152492669,2.20234604105572,9.828125,14.590625,5.11875,17.8625,3.8,15.8214285714286,23.1071428571429,8.75714285714286,29.3714285714286,5.75714285714286
"310",2021-01-04,3.08783783783784,4.52702702702703,1.49324324324324,5.84459459459459,1.07432432432432,5.98240469208211,9.34897360703812,3.37243401759531,11.7683284457478,2.3782991202346,9.79375,14.709375,5.4,18.553125,3.70625,16.4714285714286,24.3571428571429,9.36428571428571,31.1642857142857,6.48571428571429
"311",2021-01-05,2.95945945945946,4.32432432432432,1.5472972972973,6.46621621621622,1.10135135135135,6.29032258064516,9.51906158357771,3.55131964809384,11.9325513196481,2.47800586510264,10.440625,14.846875,5.85,19.390625,4.1875,17.4285714285714,26.0428571428571,9.57857142857143,32.6714285714286,7.24285714285714
"312",2021-01-06,3.33783783783784,4.68243243243243,1.84459459459459,6.22297297297297,1.11486486486486,6.71847507331378,9.60410557184751,3.61290322580645,12.4574780058651,2.57478005865103,10.65,15.70625,5.984375,20.4375,4.05625,17.4571428571429,26.1214285714286,9.87142857142857,33.4714285714286,6.74285714285714
"313",2021-01-07,3.16891891891892,4.84459459459459,1.68918918918919,5.95945945945946,1.16216216216216,6.72140762463343,9.98533724340176,3.78299120234604,12.8973607038123,2.56891495601173,10.925,16.659375,6.5375,21.14375,4.321875,19.0142857142857,27.5428571428571,10.8785714285714,35.4142857142857,7.78571428571429
"314",2021-01-08,3.07432432432432,4.99324324324324,1.7972972972973,6.66216216216216,1.22297297297297,6.86510263929619,10.3929618768328,3.86217008797654,13.4017595307918,2.68035190615836,11.646875,17.096875,6.51875,21.66875,4.6125,20.4357142857143,29.9142857142857,11.4785714285714,36.8,7.92142857142857
"315",2021-01-09,3.39189189189189,4.93918918918919,2.01351351351351,6.92567567567568,1.23648648648649,7.02932551319648,10.217008797654,4.10263929618768,13.8709677419355,2.7683284457478,12.08125,17.446875,7,22.4125,4.784375,20.9142857142857,30.1785714285714,12.5214285714286,38.3285714285714,7.96428571428571
"316",2021-01-10,3.56756756756757,5.52702702702703,2.02027027027027,6.79054054054054,1.33108108108108,7.57771260997067,10.633431085044,4.19354838709677,14.3870967741935,2.86803519061584,13.078125,18.234375,7.1,23.609375,5.06875,21.6357142857143,31.9642857142857,12.3428571428571,41.1142857142857,8.86428571428571
"317",2021-01-11,3.42567567567568,5.37837837837838,1.84459459459459,7.05405405405405,1.30405405405405,7.52492668621701,11.3049853372434,4.33137829912023,14.4574780058651,3.12316715542522,13.30625,19.428125,7.640625,24.828125,5.425,22.3214285714286,32.8928571428571,13.3214285714286,41.7,9.47142857142857
"318",2021-01-12,3.84459459459459,5.20945945945946,1.81081081081081,6.98648648648649,1.27702702702703,8,11.475073313783,4.70087976539589,14.8592375366569,3.04985337243402,13.984375,19.88125,7.8125,25.484375,5.259375,23.7857142857143,33.6357142857143,13.6571428571429,45,8.99285714285714
"319",2021-01-13,3.66216216216216,5.45945945945946,2.03378378378378,7.15540540540541,1.49324324324324,8.07624633431085,12.1202346041056,4.59237536656892,15.6950146627566,3.25806451612903,14.053125,20.075,8.190625,26.9125,5.5375,25.3571428571429,34.4071428571429,13.9714285714286,44.2357142857143,10
"320",2021-01-14,3.83108108108108,5.56081081081081,2.09459459459459,7.00675675675676,1.48648648648649,8.41935483870968,12.208211143695,4.74193548387097,16.2287390029326,3.31378299120235,14.603125,21.46875,8.559375,27.75625,5.69375,24.4071428571429,35.75,14.4428571428571,47.0428571428571,9.72142857142857
