"","date","opt JHH","opt SH","opt BMC","opt HCGH","opt SMH","mod JHH","mod SH","mod BMC","mod HCGH","mod SMH","pess JHH","pess SH","pess BMC","pess HCGH","pess SMH"
"290",2020-12-15,11.1071428571429,14.3214285714286,4.67857142857143,16.8214285714286,2.75,10.2612612612613,16.1171171171171,6.04504504504505,20.1621621621622,3.90990990990991,6.66666666666667,15,4,22,4.33333333333333
"291",2020-12-16,10.7857142857143,13.2857142857143,6.60714285714286,21.25,3.71428571428571,11.2162162162162,17.972972972973,6.96396396396396,22.8288288288288,5.10810810810811,11.3333333333333,19,6.66666666666667,24.3333333333333,5.66666666666667
"292",2020-12-17,8.03571428571429,13.6428571428571,6.14285714285714,19.9642857142857,4.92857142857143,12.5405405405405,16.9279279279279,7.36036036036036,22.6036036036036,4.31531531531532,14.6666666666667,15.3333333333333,10.6666666666667,24,3.66666666666667
"293",2020-12-18,9.53571428571429,15.9285714285714,5.46428571428571,20.25,4.10714285714286,11.6936936936937,17.8108108108108,7.27027027027027,24.972972972973,4.99099099099099,10,17,8,24,2
"294",2020-12-19,10.3214285714286,14.5,6.46428571428571,19.1785714285714,4.46428571428571,12.9189189189189,19.6666666666667,7.9009009009009,25.0630630630631,5.33333333333333,17,24,8,32.3333333333333,6
"295",2020-12-20,11.8214285714286,15.3928571428571,6.39285714285714,20.8928571428571,4.78571428571429,13.1801801801802,20,7.71171171171171,25.1981981981982,5.85585585585586,15.6666666666667,30,8.66666666666667,27.6666666666667,8.33333333333333
"296",2020-12-21,11.9285714285714,16.1785714285714,6.96428571428571,19.0714285714286,4.39285714285714,14.1621621621622,21.2432432432432,7.94594594594595,25.2072072072072,6.10810810810811,18,23,11.6666666666667,36.3333333333333,5.66666666666667
"297",2020-12-22,11.9642857142857,16.0357142857143,6.60714285714286,20.9642857142857,4.25,14.981981981982,21.1261261261261,8.51351351351351,28.4324324324324,5.83783783783784,20.3333333333333,24.3333333333333,11,33.6666666666667,8
"298",2020-12-23,11.3214285714286,15.0714285714286,6.21428571428571,21.8928571428571,4.46428571428571,15.4954954954955,22.2792792792793,8.36036036036036,29.045045045045,6.02702702702703,19.6666666666667,31.3333333333333,12.6666666666667,35.3333333333333,7
"299",2020-12-24,11.75,14.5714285714286,7.53571428571429,22.2857142857143,5.10714285714286,15.8288288288288,22.1981981981982,8.88288288288288,29.5855855855856,6.45045045045045,18,26.3333333333333,11.3333333333333,35.6666666666667,9.33333333333333
"300",2020-12-25,11.9642857142857,15.5714285714286,7.96428571428571,20.7857142857143,4.71428571428571,17.2252252252252,22.7657657657658,9.38738738738739,29.8378378378378,6,19,25.3333333333333,12,43.3333333333333,7.66666666666667
