"","date","opt JHH","opt SH","opt BMC","opt HCGH","opt SMH","mod JHH","mod SH","mod BMC","mod HCGH","mod SMH","pess JHH","pess SH","pess BMC","pess HCGH","pess SMH"
"341",2021-02-04,111.077777777778,108.790476190476,67.1690476190476,170.063095238095,38.6246031746032,180.765765765766,194.603903903904,115.255555555556,300.904404404404,65.6684684684685,289.718518518519,301.948148148148,183.374074074074,480.329629629629,93.2074074074074
"342",2021-02-05,109.810317460317,106.616666666667,66.9452380952381,168.554761904762,37.5944444444444,177.720720720721,190.784384384384,113.655255255255,297.382382382382,64.2918918918919,278.992592592593,290.674074074074,182.637037037037,476.881481481481,89.9703703703704
"343",2021-02-06,107.328571428571,105.657142857143,65.7928571428571,165.403571428571,37.35,174.333333333333,188.090990990991,111.424324324324,295.166666666667,63.3117117117117,267.933333333333,284.4,178.566666666667,466.433333333333,89.4
"344",2021-02-07,107.061111111111,105.340476190476,65.5690476190476,164.430952380952,37.4269841269841,172.558558558559,186.622822822823,109.625825825826,291.302302302302,62.1423423423424,255.207407407407,274.459259259259,169.82962962963,456.651851851852,86.162962962963
"345",2021-02-08,105.365079365079,104.27380952381,64.5595238095238,161.744047619048,37.4325396825397,170.666666666667,184.911411411411,107.457957957958,286.879379379379,60.5495495495496,247.814814814815,263.518518518519,170.425925925926,440.537037037037,79.2592592592593
"346",2021-02-09,103.419047619048,101.992857142857,63.5142857142857,163.235714285714,36.1166666666667,168.873873873874,181.506306306306,106.073873873874,282.915915915916,59.4612612612613,241.755555555556,249.577777777778,165.022222222222,435.422222222222,74.6888888888889
"347",2021-02-10,102.401587301587,100.747619047619,63.2190476190476,161.084523809524,36.0865079365079,167.351351351351,178.677777777778,105.356456456456,281.483983983984,58.3279279279279,235.362962962963,239.637037037037,163.618518518518,427.974074074074,70.4518518518518
"348",2021-02-11,100.848412698413,99.6452380952381,62.2809523809524,160.969047619048,36.0563492063492,165.18018018018,175.795195195195,103.828228228228,279.034034034034,57.4018018018018,222.97037037037,238.696296296296,159.881481481481,416.859259259259,67.5481481481481
"349",2021-02-12,99.9738095238095,98.5785714285714,61.3428571428571,161.639285714286,35.1690476190476,161.963963963964,174.002702702703,103.372072072072,276.953453453453,56.5927927927928,221.244444444444,228.755555555556,153.144444444444,403.077777777778,62.9777777777778
"350",2021-02-13,98.1706349206349,98.7261904761905,60.2261904761905,160.27380952381,35.3531746031746,160.18018018018,172.831831831832,102.573573573574,274.35035035035,56.0450450450451,212.185185185185,224.481481481482,147.740740740741,385.62962962963,60.4074074074074
"351",2021-02-14,97.7603174603175,98.052380952381,59.8595238095238,158.979761904762,35.1087301587302,158.387387387387,170.516816816817,101.576876876877,271.215715715716,55.4162162162162,203.459259259259,212.207407407407,143.337037037037,371.181481481481,58.1703703703704
"352",2021-02-15,96.6714285714286,98.5571428571428,59.6,159.042857142857,34.4357142857143,156.783783783784,167.706306306306,100.868468468468,269.783783783784,54.2918918918919,195.4,206.266666666667,138.266666666667,358.066666666667,59.6
"353",2021-02-16,95.5111111111111,99.2047619047619,58.8047619047619,161.213095238095,34.0484126984127,155.522522522523,165.760660660661,100.493393393393,269.18968968969,53.3837837837838,186.340740740741,198.659259259259,133.862962962963,350.618518518518,54.362962962963
"354",2021-02-17,95.7436507936508,99.4952380952381,57.8309523809524,159.061904761905,34.0539682539683,153.90990990991,164.076276276276,99.7219219219219,269.037037037037,52.4036036036036,182.281481481481,190.718518518519,126.792592592593,338.17037037037,51.1259259259259
"355",2021-02-18,95.0833333333333,100.464285714286,58.1428571428571,159.089285714286,34.9523809523809,152.72972972973,162.716216216216,98.545045045045,268.001501501501,51.7837837837838,175.555555555556,183.777777777778,123.388888888889,330.722222222222,52.8888888888889
"356",2021-02-19,95.9944444444444,100.647619047619,58.1690476190476,159.688095238095,34.3150793650794,151.657657657658,161.293093093093,97.4672672672673,266.524524524524,51.2450450450451,170.82962962963,176.503703703704,114.318518518519,317.274074074074,52.3185185185185
"357",2021-02-20,94.1555555555556,100.938095238095,59.0166666666667,158.358333333333,33.3206349206349,150.468468468468,160.554654654655,96.3084084084084,265.597097097097,51.2108108108108,170.77037037037,170.896296296296,112.581481481481,311.159259259259,53.7481481481481
"358",2021-02-21,91.9595238095238,99.6214285714286,59.3642857142857,157.742857142857,33.0404761904762,148.630630630631,158.672072072072,94.9873873873874,263.678678678679,50.6900900900901,163.711111111111,164.288888888889,107.511111111111,306.711111111111,53.5111111111111
"359",2021-02-22,91.1920634920635,99.197619047619,58.1404761904762,160.520238095238,33.0460317460317,147.378378378378,157.609309309309,94.0897897897898,261.165665665666,50.1513513513514,152.985185185185,153.681481481482,105.774074074074,304.596296296296,51.6074074074074
"360",2021-02-23,90.531746031746,98.1309523809524,58.8095238095238,157.97619047619,33.1587301587302,145.801801801802,155.933933933934,93.048048048048,258.868868868869,49.6036036036036,152.259259259259,148.074074074074,103.037037037037,298.148148148148,47.037037037037
"361",2021-02-24,90.9428571428571,98.2428571428571,57.9071428571429,158.789285714286,32.9857142857143,145,153.943243243243,92.2855855855856,256.905405405405,48.6234234234234,150.866666666667,148.8,99.9666666666667,286.366666666667,46.1333333333333
