patienttype,scenario,hospital,date,admitted,admitted_std,active,active_std
icu,moderate,SMH,2021-01-26,0.8941935483870959,0.49321051053309,6.02849701314217,2.1582163985320904
icu,moderate,SMH,2021-01-27,0.709354838709678,0.417298805946444,6.43118297334122,2.17644183553697
icu,moderate,SMH,2021-01-28,0.643548387096774,0.411927400329912,6.99540690994993,2.32331753543235
icu,moderate,SMH,2021-01-29,0.7383870967741949,0.47922381311795703,6.9660123508766905,2.28506666349315
icu,moderate,SMH,2021-01-30,0.6648387096774179,0.49691545959592803,6.79631886102738,2.3369181124523797
icu,moderate,SMH,2021-01-31,0.645483870967743,0.511697609226624,6.7785106706366305,2.3505506694244502
icu,moderate,SMH,2021-02-01,0.7132258064516129,0.4699889298406259,6.37005908777423,2.35680209797774
icu,moderate,SMH,2021-02-02,0.7393548387096779,0.48586428135431103,6.35046060022468,2.2642679764777798
icu,moderate,SMH,2021-02-03,0.75,0.494273660650557,6.65219138881704,2.35362098430762
icu,moderate,SMH,2021-02-04,0.7422580645161301,0.4786958740727969,6.3848811112689505,2.27949279642402
icu,moderate,SMH,2021-02-05,0.7993548387096779,0.5227096614933779,6.521075758609411,2.46876217577577
icu,moderate,SMH,2021-02-06,0.7238709677419352,0.48347984192127896,6.5289804669198,2.48269976576933
icu,moderate,SMH,2021-02-07,0.6987096774193561,0.506154011596011,6.452793957841769,2.4344560958929597
icu,moderate,SMH,2021-02-08,0.770322580645161,0.507768577404897,6.526233815568709,2.37499986308121
icu,moderate,SMH,2021-02-09,0.7451612903225819,0.5110007320728419,6.43279653113171,2.3386896550867005
icu,moderate,SMH,2021-02-10,0.678387096774195,0.475819135970892,6.3485457241151,2.2841557139788904
icu,moderate,SMH,2021-02-11,0.7461290322580649,0.542426908525575,6.37455266493611,2.20020101247986
icu,moderate,SMH,2021-02-12,0.72,0.49571063359389894,6.24986112551717,2.15516706016774
icu,moderate,SMH,2021-02-13,0.6812903225806439,0.49184145055799394,6.1663617152931,2.02708250338912
icu,moderate,SMH,2021-02-14,0.636774193548387,0.443449725097296,5.998024109070599,2.0686475798389097
icu,moderate,SMH,2021-02-15,0.6948387096774179,0.4669452614720879,5.995623982295441,2.08283205901393
icu,moderate,SMH,2021-02-16,0.733548387096774,0.498679212857433,5.80064094245857,2.07663028492569
icu,moderate,SMH,2021-02-17,0.6987096774193561,0.46924607985015,5.75318823510602,2.11825473485796
icu,moderate,SMH,2021-02-18,0.674516129032257,0.493207662275181,5.88261081677585,2.25524247619426
icu,moderate,SMH,2021-02-19,0.6909677419354829,0.485382156315099,5.8049820788530395,2.21064494946879
icu,moderate,SMH,2021-02-20,0.653225806451613,0.46825611338360995,5.68597367085081,2.14244309958598
icu,moderate,SMH,2021-02-21,0.671612903225805,0.467975025348186,5.61113888103819,2.23963911170447
icu,moderate,SMH,2021-02-22,0.72774193548387,0.537681460306698,5.76481333372829,2.3095715419956697
icu,moderate,SMH,2021-02-23,0.6580645161290309,0.474765948141912,5.59844385637773,2.28502112464249
icu,moderate,SMH,2021-02-24,0.675483870967743,0.507281424150579,5.5722827670573905,2.3545492530893704
icu,moderate,SMH,2021-02-25,0.7151612903225819,0.4774892058752401,5.6036349746304595,2.3410222159579703
icu,moderate,SMH,2021-02-26,0.740322580645161,0.48886295903445304,5.67245848476993,2.37614970255432
icu,moderate,SMH,2021-02-27,0.735483870967743,0.5368656869915309,5.69788960960438,2.32460485268439
icu,moderate,SMH,2021-02-28,0.706451612903226,0.526544109521313,5.8897363884334695,2.40339033859817
icu,moderate,SMH,2021-03-01,0.7083870967741949,0.546183809153928,5.88795453849217,2.43855819635356
icu,moderate,SMH,2021-03-02,0.753870967741935,0.537047948957733,5.85299161740355,2.39513902455166
icu,moderate,SMH,2021-03-03,0.784838709677418,0.5550900593466179,5.90376710298236,2.44822346344264
icu,moderate,SMH,2021-03-04,0.7509677419354829,0.534894350971623,5.71056715362988,2.52408997004843
icu,moderate,SMH,2021-03-05,0.7470967741935479,0.5424329513993279,5.6182573886823794,2.5213778998888396
icu,moderate,SMH,2021-03-06,0.7954838709677429,0.532412880710361,5.706107636954019,2.56641439178965
icu,moderate,SMH,2021-03-07,0.7916129032258051,0.549363836040957,5.66205518328328,2.55075431091091
icu,moderate,SMH,2021-03-08,0.8380645161290309,0.612163900437588,5.605703675049219,2.57985673440042
icu,moderate,SMH,2021-03-09,0.8216129032258049,0.5936361260537371,5.5997704034623705,2.58988065165218
icu,moderate,SMH,2021-03-10,0.774193548387096,0.5402912846015939,5.535863783933129,2.5525507024248397
icu,moderate,SMH,2021-03-11,0.7587096774193559,0.547697479103223,5.560438204283121,2.66830161465375
icu,moderate,SMH,2021-03-12,0.752903225806452,0.5493467883409919,5.45226806802604,2.7395986246802004
icu,moderate,SMH,2021-03-13,0.741290322580644,0.578126796760152,5.416590143862869,2.77495113436741
icu,moderate,SMH,2021-03-14,0.792580645161291,0.527724682263915,5.34556997182875,2.74196584423419
icu,moderate,SMH,2021-03-15,0.7761290322580648,0.540738309013284,5.3394076126393495,2.7327283748019
icu,moderate,SMH,2021-03-16,0.7654838709677431,0.5554442494580191,5.352682888166759,2.70744147379533
icu,moderate,SMH,2021-03-17,0.78774193548387,0.5164188702320399,5.31063773470577,2.7961695220135803
icu,moderate,SMH,2021-03-18,0.8216129032258049,0.575256446455272,5.25548599284904,2.7505916495322595
icu,moderate,SMH,2021-03-19,0.7819354838709689,0.562020659446005,5.26158160577608,2.75486326195904
icu,moderate,SMH,2021-03-20,0.784838709677418,0.5321252033590861,5.338355166919889,2.84567327702668
icu,moderate,SMH,2021-03-21,0.823548387096774,0.568410621606828,5.40803720336648,2.8844626657190697
icu,moderate,SMH,2021-03-22,0.7819354838709689,0.510024789750705,5.39846839132986,2.9131372034775698
icu,moderate,SMH,2021-03-23,0.7916129032258051,0.538690747204581,5.45055138684751,2.85879987627155
icu,moderate,SMH,2021-03-24,0.8312903225806441,0.59287839113982,5.48676120211506,2.95126738679258
icu,moderate,SMH,2021-03-25,0.80225806451613,0.54633210789078,5.53036615196453,2.9826571201460497
icu,moderate,SMH,2021-03-26,0.808064516129031,0.6004563821006581,5.50878862769405,3.0933717868123103
icu,moderate,SMH,2021-03-27,0.8312903225806441,0.548624331987093,5.472813991792821,3.0787377983195094
icu,moderate,SMH,2021-03-28,0.823548387096774,0.5637950233053209,5.38176312805474,2.9921924070193704
icu,moderate,SMH,2021-03-29,0.800322580645161,0.601154716122165,5.25371390315171,2.98898428486181
icu,moderate,SMH,2021-03-30,0.7780645161290309,0.572968610043984,5.179198732103651,3.08799831781399
icu,moderate,SMH,2021-03-31,0.807096774193548,0.5394273758909189,5.14421414530617,3.0407636370421804
icu,moderate,SMH,2021-04-01,0.8148387096774179,0.5555344475120579,5.1990334284894,3.0911306102349903
icu,moderate,SMH,2021-04-02,0.7693548387096779,0.513491749997307,5.1630997447928,3.0809474602566005
icu,moderate,SMH,2021-04-03,0.696774193548387,0.5042297677536149,5.02381599927219,3.0071870206748503
icu,moderate,SMH,2021-04-04,0.7654838709677431,0.5538739737269759,5.0368034996432804,2.95043339732487
icu,moderate,SMH,2021-04-05,0.702580645161291,0.5110960249524209,4.94927230278518,2.9552964851765
icu,moderate,SMH,2021-04-06,0.6890322580645171,0.527020565422995,4.862418880235,2.8737282849955297
icu,moderate,SMH,2021-04-07,0.6793548387096779,0.512388055335777,4.77868638701177,2.8503500341848795
icu,moderate,SMH,2021-04-08,0.678387096774195,0.560947336808202,4.737316761225769,2.9255574813158
icu,moderate,SMH,2021-04-09,0.676451612903226,0.539587945458843,4.7268157165956,2.9393540598713197
icu,moderate,SMH,2021-04-10,0.608709677419356,0.49228395907033196,4.524038922314309,2.7651032613241804
icu,moderate,SMH,2021-04-11,0.630967741935483,0.491090654785326,4.35173949102973,2.74784940976978
icu,moderate,SMH,2021-04-12,0.6029032258064521,0.4941182668172639,4.17207627997735,2.7543627299008397
icu,moderate,SMH,2021-04-13,0.6029032258064521,0.48880165215645893,4.01362771652429,2.73647463798385
icu,moderate,SMH,2021-04-14,0.521612903225805,0.47152872025684195,3.95836068700669,2.81175805336739
icu,moderate,SMH,2021-04-15,0.539032258064517,0.506657960839458,3.8302949516492597,2.69752266199317
icu,moderate,SMH,2021-04-16,0.514838709677418,0.455616356497452,3.79832984148454,2.71339223086954
icu,moderate,SMH,2021-04-17,0.5177419354838699,0.470251886363586,3.6815896846329,2.68941154219436
icu,moderate,SMH,2021-04-18,0.49935483870967795,0.403612201962924,3.49289460449745,2.53923222887841
icu,moderate,SMH,2021-04-19,0.46838709677419493,0.421633511355564,3.31490924168364,2.41323958324909
icu,moderate,SMH,2021-04-20,0.41225806451613006,0.390258059183337,3.08929424349373,2.25605671104579
icu,moderate,SMH,2021-04-21,0.42,0.40978357781292596,2.9806451612903198,2.2403080656302996
icu,moderate,SMH,2021-04-22,0.38225806451613004,0.398029093420515,2.8967741935483904,2.22645151942868
icu,moderate,SMH,2021-04-23,0.396774193548387,0.38090204563153196,2.79032258064516,2.13373137328978
icu,moderate,SMH,2021-04-24,0.36967741935483894,0.3714616627721759,2.7290322580645197,2.0566483144383203
icu,moderate,SMH,2021-04-25,0.35903225806451694,0.39263259390698396,2.6096774193548398,1.98524473809535
icu,moderate,SMH,2021-04-26,0.38032258064516106,0.38808864859402203,2.5387096774193503,1.99275743783216
icu,moderate,SMH,2021-04-27,0.304838709677418,0.35615664338966696,2.4419354838709704,2.0116233524113603
icu,moderate,SMH,2021-04-28,0.2980645161290322,0.332142792406137,2.36774193548387,1.89402917455035
icu,moderate,SMH,2021-04-29,0.31548387096774305,0.34634346843408303,2.23870967741935,1.76921295046693
icu,moderate,SMH,2021-04-30,0.2738709677419356,0.336770022221109,2.1225806451612903,1.7220973104683102
icu,moderate,SMH,2021-05-01,0.25935483870967735,0.32162827154532303,2.05161290322581,1.6974118757574799
icu,moderate,SMH,2021-05-02,0.28064516129032263,0.316349495213361,1.9709677419354799,1.7102524900156102
icu,moderate,SMH,2021-05-03,0.25354838709677424,0.34440737681861106,1.87741935483871,1.67653823011727
icu,moderate,SMH,2021-05-04,0.2506451612903226,0.304137442231155,1.80322580645161,1.60944467901755
icu,moderate,SMH,2021-05-05,0.21774193548387086,0.29100725716945025,1.7096774193548403,1.66158782178076
icu,moderate,SMH,2021-05-06,0.23612903225806436,0.31230338247530104,1.61935483870968,1.65498647394116
icu,moderate,SMH,2021-05-07,0.24483870967741944,0.314420829234324,1.6322580645161298,1.73212289975461
icu,moderate,SMH,2021-05-08,0.22741935483870956,0.26986816066649877,1.60322580645161,1.6964828647238899
icu,moderate,SMH,2021-05-09,0.21290322580645174,0.2910957446790312,1.55161290322581,1.6778194311976697
icu,moderate,SMH,2021-05-10,0.19451612903225818,0.2750992631370795,1.5645161290322598,1.6831323308903101
icu,moderate,SMH,2021-05-11,0.21774193548387086,0.279818024707296,1.50645161290323,1.62786927506202
icu,moderate,SMH,2021-05-12,0.19645161290322566,0.30387867259596896,1.4806451612903202,1.5876375947155
icu,moderate,SMH,2021-05-13,0.19451612903225818,0.256531941162555,1.39677419354839,1.538953115253
