"","date","opt JHH","opt SH","opt BMC","opt HCGH","opt SMH","mod JHH","mod SH","mod BMC","mod HCGH","mod SMH","pess JHH","pess SH","pess BMC","pess HCGH","pess SMH","NA","NA","NA","NA","NA"
"401",2021-04-05,1.53833460053453,2.33484026131115,1.03602980731927,2.46116183463372,0.749319216692686,3.13104011608041,4.0042415782872,2.20850317694561,5.06347737775206,1.79072733535141,5.11691099280307,6.66377217553065,2.80744845108026,7.30328986359215,2.17391517730025,5.54053246538634,5.68765109689404,4.13065899706088,9.47693746681912,2.27537771589686
"402",2021-04-06,1.66952201073472,2.30535556311118,1.07849152681135,2.57068294117576,0.99356076732837,3.09368743095338,4.20301022179987,2.21611815980483,5.24884042325081,1.61278648522164,5.06749506623164,5.62701480870157,3.32765975615097,7.96516994063682,2.10053674339465,4.68501600851054,5.77330873503228,3.47985272676876,8.18610675168605,2.19797492023908
"403",2021-04-07,1.46632630728234,2.27705596390348,0.945684515108523,2.59271524487234,0.877732436395758,3.24559160761207,4.24582220221708,2.37203356002324,4.79740441939569,1.93241428418092,4.81662548089432,5.86437028046803,3.95010899781089,7.83580002593232,2.60065085890945,4.51412713046498,5.43363368290502,3.30338368192373,8.16393555523315,1.97290236707243
"404",2021-04-08,1.40852246984558,2.18000193909635,1.02846006607004,2.41698793295663,0.615389048679518,3.14579160166362,3.73462784361648,2.22499826605564,4.96375753727848,1.96357432827514,4.35466614014755,5.98043607983043,3.04216355115582,8.2226598879895,2.33971606548806,4.81817846805201,5.44466481980296,3.35910609388867,7.54151012728883,2.10263970998362
"405",2021-04-09,1.50936796612432,2.04878736472326,1.02701976084563,2.64962360146496,0.808572334922042,3.68247387697392,3.83073807298456,2.0701848455934,4.53798176105291,1.72736686789353,5.14912940320457,6.02996680774928,3.23085584733307,8.44389574614718,2.47533940612005,4.13474228338357,5.43392123608725,3.40624426605022,8.04172711548956,2.08472869937553
"406",2021-04-10,1.4964670795924,2.15261354072014,1.0939954003934,2.55424300806902,0.811149225679508,3.16925116537733,4.21535341217967,2.34584754105442,4.88856445332023,1.85027710822706,4.27449027404613,6.19324918880023,2.91391970016957,8.29275466253047,2.23473738054918,4.3965718179054,4.83192508220068,3.40291694726745,8.27525490543947,1.84729532019112
"407",2021-04-11,1.56419261497023,2.04222693854028,0.912859852996926,2.27449685024285,0.783731302516309,3.43681951738257,3.6652985663172,2.05303064815157,4.88217657896026,1.65890683261198,5.30329384811933,5.60402676674367,3.30548549902961,7.42967225011978,2.33688576917141,4.36319836816985,4.58741484934598,3.15869336118592,6.95061822789887,2.19056927532548
"408",2021-04-12,1.68673000755076,1.95879562311637,0.902782441816173,2.56635590478172,0.790145326335504,3.36501151099603,4.24347922254941,2.07777035055119,4.73852487276596,1.75572256589561,4.56651548257397,6.47229027040953,3.07210589372317,8.18531643346807,2.26448670993857,4.08577945440035,4.42575911567722,2.79214859024372,6.77900020283227,1.68629586668532
"409",2021-04-13,1.54200569148543,1.92501827466915,1.2411642631781,2.34258078389285,0.826295028424108,2.89723095177597,3.97445547167109,2.06744973880783,3.66089847450097,1.88623179126277,4.49012400311563,5.28587850789611,3.27304441615886,8.40112914141213,2.36597937810298,4.20444333414068,4.00840912956749,2.62651741856017,6.85159652927695,1.85724931013583
"410",2021-04-14,1.3077495688936,2.07321871066992,1.01197661925074,2.57878832773143,0.807821696672893,3.06893814605431,3.66198728720245,2.18149405768871,5.019193271572,1.57230292511977,4.20623881552512,6.55290100644271,2.8680064565998,7.11823324268902,2.09642623872627,3.27087048811169,4.56063317972406,2.63675937468704,6.7351572921499,1.81103388979886
"411",2021-04-15,1.45464568846277,1.91113959743837,1.01084896141849,2.58987776072568,0.807310863997954,2.99238860690919,3.65949307620057,2.09257210740547,4.8198246728012,1.56839935705479,4.45382483059828,5.36503596873922,2.81738990933972,8.02468677634321,2.22379645476355,3.52482269057608,4.75124983556958,2.63791465934742,6.03821165578021,1.8328597873269
"412",2021-04-16,1.42232369151433,2.07917957301969,0.937618443584443,2.33945030651636,0.69228912918991,2.66825762726018,3.51012644420696,2.25660135094005,4.4844170825922,1.63076034005433,4.24544407099008,5.22584810339547,3.73722292847679,7.12459231015788,2.41848055307538,3.42700671140283,3.4649810605543,2.47878498462452,5.57673739743947,1.55397675336538
"413",2021-04-17,1.46518396674119,2.08799598755568,0.862139335621885,2.45433926196886,0.776202130495196,2.66825762726018,3.5627338803694,1.66574048339611,4.51813902474388,1.47297907403253,4.07340805501111,5.46037862073108,2.76323810600137,7.05406376395626,2.16744064029648,3.16267292017369,3.85030437108549,2.33422230089595,5.10636857267471,1.46628782986152
"414",2021-04-18,1.3308517921829,2.02355754051013,0.981173951095438,2.26176513982335,0.668355097779177,2.99912824554005,3.537085514502,2.02699545199644,4.53752831807267,1.48344776920208,4.58199149322884,4.98118112276108,2.92929266251718,7.02451727527413,2.15863993138297,3.43727271975908,3.09331436326798,1.95955192582386,5.08980291858143,1.44892201308421
"415",2021-04-19,1.5353661201044,1.79702380940659,1.10847290202557,2.08454141649458,0.740818569344136,2.89167719190219,3.98026467194213,1.9600563735909,4.02012896557596,1.39615383888672,4.45949781493965,5.58825412594002,2.79020552591722,6.85271454309613,1.88073928279581,2.67602200103063,3.47614639363764,2.1065003560408,4.3558688857678,1.48660687473185
"416",2021-04-20,1.50981806308256,2.25918870542865,0.980827639845135,2.26003710603245,0.645827649914182,2.92369816737927,3.42872758315766,2.07479732760028,4.42878220247758,1.63225798143854,4.09772429988092,4.63549402739867,3.11603860841955,7.6728156461961,2.06238225918143,3.17586110370085,3.57692255996688,1.81504132184367,4.35242389364823,1.47134080008678
"417",2021-04-21,1.34674793871556,1.95290221890638,0.888258071951969,2.1946130708196,0.711204497468924,2.78086248475578,3.4756649599149,2.13170189033212,4.52257710865207,1.43575257601496,4.33783076303501,4.54642586020272,2.31655963500494,6.52434465450222,1.66912865946758,2.63391343821318,2.86877042476389,2.203654634919,4.46626241951814,1.26237623155698
"418",2021-04-22,1.43098149007805,1.7625970968453,0.944837345912394,2.51124288906371,0.653707759508715,2.51352650685961,3.51084689973242,1.68131423544174,4.18685438689531,1.6755677947616,4.18712013379985,5.25100200063835,3.05813199953686,5.87360676203327,2.06151674235273,2.62392835268038,2.9780184267395,1.92337593829184,4.90814055931572,1.25243512806053
"419",2021-04-23,1.52691878866003,1.97203137978769,0.89212897094715,2.25108600277729,0.705448990736671,2.22330220670335,3.6492642586732,1.67290499165706,3.67003212553639,1.48203114803001,3.66091386178244,4.80141016366919,2.15767517605819,5.7635338488749,2.11872476882771,2.30322464167089,2.39478600296561,1.80584986917518,3.64432349689212,1.06066017177982
"420",2021-04-24,1.48668938745017,1.84233818900584,0.866659137783221,2.18863397200143,0.731920910398356,2.63106377167957,3.63240398504385,1.77951304200522,4.41339462615799,1.62530993140196,3.66892833101927,4.33309689862771,2.54442970940514,5.79728956751047,1.82275262356423,2.42741503455837,2.31894372506105,1.86241610549308,3.96224368256169,1.28446243619656
"421",2021-04-25,1.34880049762813,1.79506469908371,0.890740654368135,2.08377295627683,0.782367751570122,2.43382936485471,3.43422418423717,1.78086152298834,3.8227510939016,1.57796360408042,3.63774580297569,4.51833794124991,2.11735555046082,5.71346344045583,2.03143060218486,2.17625682078196,2.20212965104237,1.49577530063843,3.33316666249979,0.887323926196066
"422",2021-04-26,1.30735983573969,1.71671873096394,1.00071560699294,2.00804033078399,0.720189631548246,2.39646730742473,3.40050629652444,1.84152211599636,3.64540929338857,1.3776085121035,3.29168910024308,4.18710237441989,2.01986711857007,5.97313288637435,1.90509508148083,2.05239951032931,2.68514431641951,1.44778926297994,3.26417581481145,1.0804368329523
"423",2021-04-27,1.19812839882638,1.89242080987122,0.877925943068811,1.90423241607245,0.632808426306395,2.42988085873656,2.85785803316451,1.67118728484126,3.75729742642465,1.2474940587481,3.44949538938725,3.96669657738795,2.0970291441489,4.85017953512064,1.50099114587265,1.82688259064451,2.03250922507132,1.38654246238621,3.3385766053814,0.835819208920207
"424",2021-04-28,1.24448356881638,1.66952201073472,0.781095027581253,1.92838110656442,0.655487164663548,2.38953479640073,3.01998090002045,1.66501976244363,3.73390464470473,1.17851130197758,3.28191554749907,3.85468109310819,1.92852657568496,5.34296671127669,1.45776347892918,1.97480220528538,2.3225793850803,1.35,3.12627474000607,1.00124921972504
"425",2021-04-29,1.11895334557789,1.63081717497877,0.825119476500891,1.95979883488634,0.593181998955286,2.17375778505639,3.18694772509201,1.66666666666667,3.25982476154693,1.28406932024887,3.297467165645,4.6104658119299,2.37651607892913,4.84717363078935,1.37285877841133,1.87745672386876,2.1511624764299,1.49499163877261,2.68688946553445,1.13019633250157
