"","date","opt JHH","opt SH","opt BMC","opt HCGH","opt SMH","mod JHH","mod SH","mod BMC","mod HCGH","mod SMH","pess JHH","pess SH","pess BMC","pess HCGH","pess SMH","NA","NA","NA","NA","NA"
"298",2020-12-23,5.64297701523815,8.38245916110049,3.47881619937661,10.4240759965783,2.3068392743526,6.96440957195017,11.7389698103584,4.63269343066175,12.5336583882198,3.21010653259627,12.5466174153167,17.5306182391754,7.21069006129259,21.2572869543955,4.93926527566749,36.132946790291,56.2005768987294,20.5687832345523,67.0128147726239,14.72548810736
"299",2020-12-24,5.72520190547489,8.62370390652629,3.50342250928369,10.3392572382538,2.34459989787455,7.17096602782992,11.9740660549171,4.80250384798144,12.5140353302567,3.25046161119787,12.8332380485298,18.5541316185635,7.98459253969701,22.5528132894653,5.21135674689107,38.2162412300059,59.9562548863753,21.9570568098277,71.4082879906107,15.4736419032495
"300",2020-12-25,5.75594631692729,8.68718897568454,3.46627953145609,10.3089313871386,2.36313587682061,7.21987141228129,12.1684422854497,4.67183539450619,13.193245559568,3.34114311447227,13.534234030018,19.4005341616791,8.16461365413921,23.4215817944416,5.36241575010536,40.4405041387963,63.1621907769989,23.136331683091,75.8979207554463,16.3378347326076
"301",2020-12-26,5.83722433146508,8.93248937309995,3.5153090413009,10.3664048954989,2.37820349781451,7.28483660127461,12.8119878866506,4.68173456594384,13.3473274041667,3.58871258596887,14.2548456543099,20.0544952095102,8.45764898147663,24.3820504530497,5.80796443877459,42.7966047134583,65.776472807532,24.5509387549641,82.675683207035,17.2046323703821
"302",2020-12-27,5.83766082177,9.05065138913186,3.50417049413957,10.3091950243714,2.43093341308462,7.61000712909003,13.4426077716976,4.70683768443892,13.7930023410513,3.60929441481843,15.1538805321092,21.0487098322868,8.4494947735012,25.3247468280263,6.08878636944233,45.8369375476809,69.4604192598202,25.5875671713823,87.5083701353762,19.0484743483566
"303",2020-12-28,5.94337782407593,9.3935707297527,3.46742746377345,10.0255564138343,2.43756266832132,8.02732387968806,13.7732967623479,4.58963278279785,13.5671499696524,3.61100427192379,15.3408478297529,21.8862351108858,8.90481926081696,26.6849332638412,6.11282236479465,48.5856186926749,73.5523623006087,26.5639676065154,92.701186615922,19.8822156712978
"304",2020-12-29,5.98419379363265,9.05557272159637,3.5080256244358,10.0602181162334,2.65004485838675,8.14583300443097,13.9469035262248,4.71101611539444,13.9251625086256,3.50097967868458,15.6977512153277,22.0819952714772,8.93615399960076,28.2895419829273,6.27611735218849,52.0603976166145,79.2409290944396,28.6724606547816,98.2961524870124,20.9935964939312
"305",2020-12-30,6.0678658398502,9.24415442488308,3.51342398850222,9.96449812038408,2.6837572245639,8.79995537929827,14.5031658953366,4.77784955444219,14.4308696896618,3.5861315517104,16.6382049265142,22.9474511563846,8.82823232030338,28.8596369288403,6.54349834665911,54.8885461640222,84.05711506916,30.6104455210962,104.212006715877,22.9938816590414
"306",2020-12-31,6.08760572267017,9.1026725406802,3.49905607749765,10.1691940180445,2.68609808272965,9.05634606108071,14.7020709980728,4.83055653170892,14.8875154839198,3.67790785268466,17.2307018158986,24.0463932916994,9.00185882053624,30.4707952550327,6.80033067747606,57.3503473725312,88.3332291666052,32.4422949249895,112.038762823409,25.0819874362061
"307",2021-01-01,6.0568060006777,9.19048660538586,3.49995753329087,10.4812839253094,2.79148266194945,9.03131934331484,14.9213616539404,4.85912657903775,15.137671261487,3.80449656347708,17.9498151956007,24.9066550025216,9.35706046826575,31.7606867913941,7.16418524800258,61.0293359274865,91.4682996657858,33.9853277165308,117.043570946891,26.3524162791574
