"","date","opt JHH","opt SH","opt BMC","opt HCGH","opt SMH","mod JHH","mod SH","mod BMC","mod HCGH","mod SMH","pess JHH","pess SH","pess BMC","pess HCGH","pess SMH","NA","NA","NA","NA","NA"
"406",2021-04-10,1.52709359605911,2.47783251231527,0.842364532019704,3.05418719211823,0.423645320197044,6.0462962962963,8.09259259259259,3.34259259259259,11.5092592592593,2.24074074074074,9.85365853658537,13.0975609756098,5.81707317073171,18.2439024390244,3.39024390243902,6.7125,7.45,4.0875,12.7125,2.25
"407",2021-04-11,1.39901477832512,2.52216748768473,0.738916256157635,2.67980295566502,0.482758620689655,5.61111111111111,7.97222222222222,3.23148148148148,10.75,2.23148148148148,9.85365853658537,12.0975609756098,5.97560975609756,17.9146341463415,3.95121951219512,6.25,7.175,4.1875,12.0375,2.4625
"408",2021-04-12,1.3743842364532,2.33004926108374,0.689655172413793,2.99507389162562,0.507389162561576,5.86111111111111,8.4537037037037,3.41666666666667,10.4907407407407,2.02777777777778,9.02439024390244,12.3658536585366,5.58536585365854,17.0243902439024,3.51219512195122,6.1375,7.0125,3.5625,10.9125,1.8625
"409",2021-04-13,1.51724137931034,2.38916256157635,0.798029556650246,3,0.472906403940887,5.43518518518519,8,3.14814814814815,10.1203703703704,2.41666666666667,8.90243902439024,11.7560975609756,5.47560975609756,16.7926829268293,3.36585365853659,6.1875,6.4125,3.4625,11.075,1.775
"410",2021-04-14,1.24137931034483,2.32512315270936,0.788177339901478,2.99014778325123,0.536945812807882,5.62962962962963,7.81481481481481,3.01851851851852,10.0462962962963,2.00925925925926,8.87804878048781,11.2439024390244,5.48780487804878,15.1951219512195,3.53658536585366,4.6625,6.225,3.35,10.3875,1.9125
"411",2021-04-15,1.3743842364532,2.31034482758621,0.714285714285714,2.89162561576355,0.45320197044335,4.90740740740741,7.84259259259259,3.02777777777778,10.1388888888889,1.94444444444444,8.76829268292683,11.1829268292683,4.96341463414634,16.3414634146341,3.39024390243902,5.275,6.475,3.0625,9.3,1.875
"412",2021-04-16,1.30049261083744,2.42364532019704,0.645320197044335,2.63546798029557,0.369458128078818,5.30555555555556,6.88888888888889,3.01851851851852,9.39814814814815,1.73148148148148,7.97560975609756,10.3048780487805,5.3780487804878,15.5487804878049,3.74390243902439,5.075,5.3625,2.825,9.5,1.6875
"413",2021-04-17,1.37931034482759,2.63546798029557,0.669950738916256,3.10344827586207,0.45320197044335,5.19444444444444,7.46296296296296,2.72222222222222,9.55555555555556,1.84259259259259,7.76829268292683,10.0365853658537,4.32926829268293,14.5487804878049,2.90243902439024,4.65,5.5125,2.5375,8.5,1.5
"414",2021-04-18,1.3743842364532,2.41379310344828,0.714285714285714,2.64532019704433,0.399014778325123,4.87962962962963,7.37037037037037,2.75925925925926,8.85185185185185,1.94444444444444,7.92682926829268,9.76829268292683,4.74390243902439,14.4390243902439,2.73170731707317,4.6875,4.8625,2.6875,8.3625,1.525
"415",2021-04-19,1.32512315270936,2.33990147783251,0.714285714285714,2.55665024630542,0.41871921182266,4.90740740740741,6.99074074074074,2.97222222222222,8.37962962962963,1.7037037037037,7.35365853658537,9.64634146341463,4.53658536585366,13.9390243902439,2.78048780487805,3.8375,4.9375,2.3875,7.3375,1.3
"416",2021-04-20,1.50246305418719,2.55665024630542,0.630541871921182,2.59605911330049,0.300492610837438,4.62962962962963,6.72222222222222,2.80555555555556,9.15740740740741,1.75925925925926,6.96341463414634,9,4.4390243902439,13.609756097561,2.8780487804878,4.1625,4.825,2.325,7.2625,1.3125
"417",2021-04-21,1.2512315270936,2.44827586206897,0.650246305418719,2.42857142857143,0.399014778325123,4.37037037037037,6.44444444444444,2.9537037037037,8.83333333333333,1.64814814814815,7.70731707317073,8.84146341463415,3.78048780487805,12.5,2.52439024390244,3.75,4.2875,2.2375,6.95,1.1375
"418",2021-04-22,1.24630541871921,2.12807881773399,0.665024630541872,2.7487684729064,0.359605911330049,4.34259259259259,6.76851851851852,2.68518518518519,8.23148148148148,1.76851851851852,6.74390243902439,8.98780487804878,4.19512195121951,11.8414634146341,2.48780487804878,3.3,4.1375,2.225,6.6875,1.1375
"419",2021-04-23,1.36945812807882,2.31034482758621,0.576354679802956,2.39901477832512,0.364532019704433,4.03703703703704,6.25,2.58333333333333,7.77777777777778,1.76851851851852,6.98780487804878,8.46341463414634,3.68292682926829,11.5853658536585,2.26829268292683,3.0875,3.8,2.0375,5.3625,1
"420",2021-04-24,1.25615763546798,2.22167487684729,0.605911330049261,2.45812807881773,0.359605911330049,4.14814814814815,5.99074074074074,2.33333333333333,7.85185185185185,1.68518518518519,5.95121951219512,7.82926829268293,3.80487804878049,11.4146341463415,2.34146341463415,2.7875,3.65,2.1375,5.475,1.1125
"421",2021-04-25,1.20689655172414,2.19704433497537,0.591133004926108,2.31034482758621,0.389162561576355,4.24074074074074,6.24074074074074,2.2962962962963,7.41666666666667,1.63888888888889,5.75609756097561,7.42682926829268,3.25609756097561,11.1219512195122,2.46341463414634,2.9625,3.275,1.6125,4.8,0.6125
"422",2021-04-26,1.17241379310345,2.15270935960591,0.630541871921182,2.32512315270936,0.369458128078818,3.75,5.46296296296296,2.25,7.23148148148148,1.48148148148148,5.51219512195122,7.17073170731707,3.28048780487805,10.7439024390244,2.17073170731707,3.0125,3.3,1.5625,4.9125,0.7875
"423",2021-04-27,1.13300492610837,1.99507389162562,0.645320197044335,2.27093596059113,0.369458128078818,3.61111111111111,5.40740740740741,2.14814814814815,6.88888888888889,1.40740740740741,5.59756097560976,6.85365853658537,3.23170731707317,9.98780487804878,1.64634146341463,2.25,2.7625,1.55,4.4375,0.6625
"424",2021-04-28,1.11330049261084,2.02955665024631,0.566502463054187,2.33004926108374,0.334975369458128,3.55555555555556,4.99074074074074,2.07407407407407,6.75925925925926,1.33333333333333,5.09756097560976,6.91463414634146,2.70731707317073,8.80487804878049,1.81707317073171,2.4875,3.075,1.45,4.3375,0.85
