"","date","opt JHH","opt SH","opt BMC","opt HCGH","opt SMH","mod JHH","mod SH","mod BMC","mod HCGH","mod SMH","pess JHH","pess SH","pess BMC","pess HCGH","pess SMH","NA","NA","NA","NA","NA"
"442",2021-05-16,16.7783251231527,13.4433497536946,6.35467980295566,16.8522167487685,6.57142857142857,37.5833333333333,40.2962962962963,18.7685185185185,55.1203703703703,15.7037037037037,46.719512195122,45.780487804878,24.9878048780488,67.9756097560975,18.0609756097561,22.425,13.8125,10.1,19.9375,8.125
"443",2021-05-17,16.5467980295567,12.9310344827586,6.17241379310345,16.3399014778325,6.47783251231527,36.6203703703704,38.7685185185185,18.0092592592593,52.6944444444444,15.212962962963,44.4756097560976,43.4268292682927,23.4268292682927,64.2682926829268,17.2560975609756,21.575,13.2375,9.275,18.3125,7.8875
"444",2021-05-18,16.3694581280789,12.6502463054187,6.14778325123153,15.9261083743842,6.39408866995074,35.2407407407407,36.9907407407408,17.2777777777778,50.3518518518518,14.8240740740741,43.2073170731708,40.8658536585366,22.4024390243902,60.8414634146341,16.5853658536585,20.625,12.375,8.6625,16.4875,7.575
"445",2021-05-19,16.1674876847291,12.3596059113301,5.99507389162561,15.6600985221675,6.31527093596059,33.9166666666667,35.9166666666667,16.7962962962963,48.324074074074,14.2222222222222,41.1829268292683,38.9878048780488,21.0487804878049,57.6097560975609,15.9024390243902,19.7,11.3875,8.2125,14.5875,7.1625
"446",2021-05-20,15.7980295566503,12.1379310344828,5.90147783251231,14.9605911330049,6.26108374384237,32.75,34.2314814814815,16.1666666666667,45.9537037037037,13.8240740740741,39.7560975609756,36.7560975609756,19.9146341463415,54,14.890243902439,19.15,10.4375,7.5875,13.15,6.925
"447",2021-05-21,15.4827586206897,11.8128078817734,5.77339901477832,14.576354679803,6.16748768472907,31.6203703703704,33.3888888888889,15.7407407407407,43.7685185185185,13.4166666666667,38.3414634146342,34.1219512195122,18.780487804878,50.9268292682926,14.4756097560976,18.3375,9.825,7.025,11.85,6.4875
"448",2021-05-22,15.2857142857143,11.5418719211823,5.70443349753694,14.0344827586207,6.06896551724138,30.75,31.9351851851852,15.1111111111111,41.9814814814814,12.7962962962963,36.8170731707317,32.9756097560976,17.5243902439024,47.8170731707317,14.0121951219512,17.45,9.2,6.5625,10.6875,6.25
"449",2021-05-23,15.1231527093596,11.2364532019705,5.59605911330049,13.5270935960591,6.02463054187192,29.6666666666667,30.6388888888889,14.3611111111111,39.9259259259259,12.3518518518519,35.2317073170732,31.4878048780488,16.5,44.9878048780487,13.280487804878,16.9,8.2625,5.975,9.35,6.025
"450",2021-05-24,14.8423645320197,10.9802955665025,5.50738916256158,13.0443349753695,5.97536945812808,28.9259259259259,29.1666666666667,13.712962962963,37.8055555555555,11.9722222222222,34.0365853658537,29.9756097560976,15.5,42.5,12.7317073170732,16.3375,7.3875,5.75,8.6125,5.9125
"451",2021-05-25,14.6650246305419,10.7241379310345,5.38916256157635,12.6256157635468,5.92118226600985,28.0833333333333,28.2407407407408,13.0925925925926,35.75,11.5462962962963,32.5975609756098,27.8658536585366,14.609756097561,39.6097560975609,12.3170731707317,15.8875,6.7,5.375,7.7,5.725
"452",2021-05-26,14.2955665024631,10.2857142857143,5.30049261083744,12.2906403940887,5.87192118226601,27.0277777777778,26.6481481481482,12.787037037037,34.0925925925925,11.2685185185185,31.4878048780488,26.1341463414634,14.219512195122,36.7317073170731,11.8292682926829,15.2875,5.925,5.0875,6.9375,5.575
"453",2021-05-27,14.0098522167488,10.0788177339902,5.14778325123153,11.9605911330049,5.81773399014778,26.0925925925926,25.2777777777778,12.3611111111111,33.3148148148148,11.0185185185185,30.0609756097561,24.9878048780488,13.6341463414634,34.8048780487804,11.3658536585366,14.925,5.3875,4.825,6.025,5.4375
"454",2021-05-28,13.935960591133,9.57142857142859,5.09852216748768,11.6945812807882,5.7192118226601,25.3148148148148,24.1111111111111,11.787037037037,32.0185185185185,10.537037037037,29.0243902439025,23.5853658536585,12.8780487804878,32.5853658536585,10.9268292682927,14.45,4.4375,4.425,5.425,5.325
"455",2021-05-29,13.9704433497537,9.38423645320199,5.08866995073892,11.7093596059113,5.64039408866995,24.6203703703704,23.25,11.3148148148148,30.4444444444444,10.0555555555556,27.7804878048781,21.390243902439,12.280487804878,30.170731707317,10.4756097560976,14.2,4.175,4.3,4.5375,5.1625
