"","date","opt JHH","opt SH","opt BMC","opt HCGH","opt SMH","mod JHH","mod SH","mod BMC","mod HCGH","mod SMH","pess JHH","pess SH","pess BMC","pess HCGH","pess SMH","NA","NA","NA","NA","NA"
"334",2021-01-28,11.0192928018346,10.6147367628735,4.81531988933739,16.3595573878039,4.44606696919565,29.306472518684,38.0570292839911,14.9619647290691,50.262061007839,12.2586805555556,55.1621815045694,71.1258026841637,28.9850881429606,94.2367613067927,21.9849537741013,132.418747184262,175.515607170874,74.8158863755918,235.085646642112,53.128686891054
"335",2021-01-29,11.1391057561361,10.5645470862593,4.8066447237624,16.5532156880677,4.45926274422981,29.9890255619156,38.6690022588757,15.1998053965046,50.9156954868102,12.2620237462343,56.3059298114815,72.9979312199869,29.7666033850312,98.0326824404834,22.7521259412776,136.107072945072,180.493200270636,76.704574517801,241.998292226324,54.4380400372439
"336",2021-01-30,11.2726711445923,10.6210045215133,4.75465880552232,16.8011409849148,4.58629388173677,30.659873125492,39.4868620737229,15.5829151137188,51.6888120839733,12.5506722178853,58.4685965179812,75.1534719287378,30.2558774707121,101.536099504421,23.28773211394,139.531273434904,185.169886421427,78.5054132231405,250.326628674877,56.2655829326923
"337",2021-01-31,11.4233050393423,10.7134905229505,4.82675463354325,16.8856131557941,4.72436611589106,31.3739069604757,40.4226419753087,15.8463807416922,52.7694841879836,12.8818348118077,59.5615780445969,77.2457890396412,31.1193144363876,104.475937875971,24.0350122508074,143.958727091818,189.185073778383,80.9048264140317,256.795708142487,58.1468268782081
"338",2021-02-01,11.4401006183838,10.9107378527195,4.85625117955815,16.8981815565089,4.8066447237624,32.0865055893635,40.9964121129658,16.1985748716337,54.2443335493209,13.2224867724868,61.6189622057922,79.676579687314,31.8246799307529,107.822371567369,24.635045786862,147.567155086511,193.928461075115,83.1914845531012,263.06390495165,59.5784799365223
"339",2021-02-02,11.5500534199526,10.9411092407053,4.94528129229522,16.9643336183494,4.8495826799984,32.6818337409835,41.3548337494121,16.5978392211849,55.4009038989357,13.5308722560681,63.0961369587747,81.4297101604584,32.5787021678614,111.106122005541,24.7820666227921,150.702050487157,199.269974140408,85.3921195237368,268.65801460114,61.1166813963765
"340",2021-02-03,11.7115004644454,10.9987247535948,4.87828143931381,17.2835644738461,4.80968390070235,33.5873190263434,41.9087173413724,16.9880018110474,56.2510702593805,13.6564937427817,64.872602154608,84.0097188711706,33.5674066585225,113.75353160247,25.6179112380778,153.724544764795,204.117636831083,87.5794980637474,275.532641144939,61.7023164335664
"341",2021-02-04,11.7662028815418,11.0317256617152,4.99663396255283,17.443641059309,4.81579247234542,34.0047039017627,42.5221766671772,17.3656565656566,57.0608859479827,14.0015810367908,65.9464070312774,87.0224469064582,34.7915671833676,116.494536616667,25.9816227395459,155.925766000425,208.040677374302,90.0665117629974,282.450275954485,62.4903212320639
"342",2021-02-05,11.8355384736366,11.1046525235433,5.03908009446731,17.7955054299566,4.82194079951175,34.6060058143657,43.2049169925818,17.6872336938709,58.0110948085353,14.2170590665014,67.5841163185877,89.032502549677,35.1145056830557,119.837384139011,26.6559542343144,158.767627938423,211.499728956482,91.767520731448,289.963853351367,63.8164571005917
"343",2021-02-06,11.7880685614831,11.0158187293313,5.12534812886678,17.8414744827344,4.83256380769297,35.1965650853492,43.7851393188855,18.1160011248594,58.9786862193652,14.5358895381317,68.9506431584187,91.3792551866511,36.2482963803726,122.563862161557,27.4656618251576,161.574912323628,215.291298420319,93.8676568342335,295.538060624891,65.7040977463042
"344",2021-02-07,12.0443279978789,10.9427342866156,5.13990147783251,17.9845182898212,4.84884217059075,35.6654393800909,44.1316947867513,18.7046216806671,59.8537151339834,14.6005322687957,71.0210307892053,94.3347286767643,37.5060797960165,125.477104125527,28.2464561436695,164.725847101652,218.514021615472,95.8670600639412,300.535037210496,66.9201112175931
